gtdb_genome_representative,accession,ncbi_genbank_assembly_accession,gtdb_taxonomy,gtdb_superkingdom,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_organism_name,ncbi_species_taxid,ncbi_assembly_level,genome_size,gc_count,gc_percentage,ncbi_protein_count,checkm_completeness,checkm_contamination,checkm2_completeness,checkm2_contamination,checkm_marker_count,checkm_marker_set_count,checkm_strain_heterogeneity,contig_count
GCF_001428865.1,RS_GCF_001428865.1,GCA_001428865.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp001428865,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp001428865,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;x__unclassified Sphingomonas;s__Sphingomonas sp. Root241,Sphingomonas sp. Root241,1736501,Scaffold,4212502,2780848,66.0172988546405,3826,99.61,1.19,100,1.46,569,293,0,10
GCF_000155895.1,RS_GCF_000155895.1,GCA_000155895.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp000155895,Bacteria,Pseudomonadota,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp000155895,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Candidatus Pelagibacterales;f__Candidatus Pelagibacteraceae;g__Candidatus Pelagibacter;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Candidatus Pelagibacterales;f__Candidatus Pelagibacteraceae;g__Candidatus Pelagibacter;x__unclassified Candidatus Pelagibacter;s__Candidatus Pelagibacter sp. HTCC7211,Candidatus Pelagibacter sp. HTCC7211,439493,Scaffold,1456888,423005,29.03483315121,1519,100,0.47,99.91,0.08,324,211,0,1
GCA_017994175.1,GB_GCA_017994175.1,GCA_017994175.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__JAGOEF01;s__JAGOEF01 sp017994175,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,ML635J-15,JAGOEF01,JAGOEF01 sp017994175,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;x__unclassified Bacteroidales;s__Bacteroidales bacterium,Bacteroidales bacterium,2030927,Scaffold,3174052,1283129,40.4523460632443,none,96.77,1.08,95.36,0.11,278,186,50,150
GCF_029212375.1,RS_GCF_029212375.1,GCA_029212375.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Zhongshania;s__Zhongshania sp029212375,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,Zhongshania,Zhongshania sp029212375,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Zhongshania;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__Zhongshania;x__unclassified Zhongshania;s__Zhongshania sp.,Zhongshania sp.,1971902,Scaffold,3804105,1942713,51.083629918972,none,99.14,0.97,100,0,507,232,0,40
GCF_030362815.1,RS_GCF_030362815.1,GCA_030362815.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas edaphi,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas edaphi,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas edaphi,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas edaphi,Cellulomonas edaphi,3053468,Scaffold,3366091,2458388,73.0386874600958,none,100,0,99.97,0.01,288,173,0,9
GCF_036697365.1,RS_GCF_036697365.1,GCA_036697365.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonas arctica_A,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Psychromonadaceae,Psychromonas,Psychromonas arctica_A,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonas arctica,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonas arctica,Psychromonas arctica,168275,Scaffold,3880468,1444636,37.2293843491527,none,100,0.12,100,0.09,312,185,60,80
GCF_014654725.1,RS_GCF_014654725.1,GCA_014654725.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Vulcanococcus;s__Vulcanococcus sp014654725,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Vulcanococcus,Vulcanococcus sp014654725,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__Synechococcaceae;g__Vulcanococcus;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__Synechococcaceae;g__Vulcanococcus;x__unclassified Vulcanococcus;s__Vulcanococcus sp. Clear-D1,Vulcanococcus sp. Clear-D1,2766970,Scaffold,2960550,1892456,63.9310845734169,none,100,0.54,99.97,0.6,472,368,0,43
GCA_000724175.1,GB_GCA_000724175.1,GCA_000724175.1,d__Bacteria;p__Bacteroidota_A;c__Chlorobiia;o__Chlorobiales;f__Thermochlorobacteraceae;g__GBChlB;s__GBChlB sp000724175,Bacteria,Bacteroidota_A,Chlorobiia,Chlorobiales,Thermochlorobacteraceae,GBChlB,GBChlB sp000724175,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;x__unclassified Chloroherpetonaceae;s__[Candidatus Thermochlorobacteriaceae] bacterium GBChlB,[Candidatus Thermochlorobacteriaceae] bacterium GBChlB,1519464,Scaffold,3059647,1556501,50.8872154984737,2181,98.36,3.37,100,0.4,273,183,10,59
GCA_963678095.1,GB_GCA_963678095.1,GCA_963678095.1,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__G963678095;s__G963678095 sp963678095,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,G963678095,G963678095 sp963678095,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;x__unclassified Selenomonadaceae;s__Selenomonadaceae bacterium,Selenomonadaceae bacterium,2652289,Complete Genome,2961524,1375375,46.4414605453138,none,99.28,0.63,99.24,0.55,295,158,0,2
GCF_025143825.1,RS_GCF_025143825.1,GCA_025143825.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter sp025143825,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter sp025143825,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Sulfitobacter;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Sulfitobacter;x__unclassified Sulfitobacter;s__Sulfitobacter sp. S223,Sulfitobacter sp. S223,2867023,Complete Genome,4030883,2267499,56.2531584270742,none,99.36,0,99.99,0.01,582,313,0,4
GCF_001499655.1,RS_GCF_001499655.1,GCA_001499655.1,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Protochlamydia;s__Protochlamydia naegleriophila,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,Protochlamydia,Protochlamydia naegleriophila,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Protochlamydia;s__Candidatus Protochlamydia naegleriophila,d__Bacteria;x__PVC group;p__Chlamydiota;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Protochlamydia;s__Candidatus Protochlamydia naegleriophila,Candidatus Protochlamydia naegleriophila,389348,Complete Genome,3030375,1286083,42.4397310563874,2561,100,0.68,99.66,2.01,229,148,0,2
GCF_900183385.1,RS_GCF_900183385.1,GCA_900183385.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria costaricensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Listeriaceae,Listeria,Listeria costaricensis,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria costaricensis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria costaricensis,Listeria costaricensis,2026604,Scaffold,3180595,1387745,43.6437462398312,3027,99.45,0.55,100,0.15,325,181,0,53
GCF_001011035.1,RS_GCF_001011035.1,GCA_001011035.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001011035,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp001011035,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;x__unclassified Streptomyces;s__Streptomyces sp. CNQ-509,Streptomyces sp. CNQ-509,444103,Complete Genome,8039333,5874145,73.0675757637575,6977,100,1.58,100,0.1,315,190,0,1
GCF_014201835.1,RS_GCF_014201835.1,GCA_014201835.1,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Pectinatus;s__Pectinatus brassicae,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Pectinatus,Pectinatus brassicae,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Pectinatus;s__Pectinatus brassicae,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Pectinatus;s__Pectinatus brassicae,Pectinatus brassicae,862415,Scaffold,2849197,1024308,35.9519974560379,none,99.79,0.63,100,0.72,295,158,0,91
GCA_963625835.1,GB_GCA_963625835.1,GCA_963625835.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp963625835,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,Eubacterium_R sp963625835,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;x__unclassified Clostridium;s__Clostridium sp. AF37-5,Clostridium sp. AF37-5,2293016,Scaffold,1848833,801249,43.3451282719865,none,97.32,0,98.12,0.18,263,149,0,69
GCF_900106585.1,RS_GCF_030538875.1,GCA_030538875.1,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus timonensis,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus timonensis,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;x__unclassified Acidaminococcus;s__Acidaminococcus sp.,Acidaminococcus sp.,1872103,Scaffold,1918302,1077980,56.1980041518479,none,99.98,0,97.62,0.12,334,167,0,81
GCF_010206195.1,RS_GCF_041225015.1,GCA_041225015.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis_A,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,Anaerotruncus colihominis_A,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus colihominis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus colihominis,Anaerotruncus colihominis,169435,Scaffold,3259971,1769752,54.3091779108045,none,97.99,0,95.05,0.1,263,149,0,66
GCA_900321855.1,GB_GCA_902778195.1,GCA_902778195.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bovifimicola;s__Bovifimicola sp900321855,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Bovifimicola,Bovifimicola sp900321855,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;x__environmental samples;s__uncultured Lachnospiraceae bacterium,uncultured Lachnospiraceae bacterium,297314,Scaffold,2673078,986628,36.9101824095388,none,96.64,0,100,1.47,263,149,0,68
GCA_002842735.1,GB_GCA_002842735.1,GCA_002842735.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__Erythrobacter sp002842735,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,Erythrobacter sp002842735,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;x__unclassified Alphaproteobacteria;s__Alphaproteobacteria bacterium HGW-Alphaproteobacteria-7,Alphaproteobacteria bacterium HGW-Alphaproteobacteria-7,2013670,Scaffold,2659576,1659023,62.3826065114656,2539,97.51,0.05,100,0.01,569,293,0,41
GCF_023283845.1,RS_GCF_041471165.1,GCA_041471165.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella marinintestina,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Shewanella marinintestina,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;x__unclassified Shewanella;s__Shewanella sp. 10N.261.52.F9,Shewanella sp. 10N.261.52.F9,3229684,Scaffold,4889307,2074344,42.5952510269729,none,99.84,0.04,100,0.18,868,324,0,101
GCA_000737985.1,RS_GCF_030284585.1,GCA_030284585.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Salinicola;s__Salinicola sp000737985,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Salinicola,Salinicola sp000737985,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Salinicola;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Salinicola;x__unclassified Salinicola;s__Salinicola sp. JS01,Salinicola sp. JS01,3050071,Complete Genome,4428600,2908190,65.6683827846272,none,97.4,2.01,100,1.4,507,232,36.36,1
GCA_017303895.1,GB_GCA_017303895.1,GCA_017303895.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__2-12-FULL-35-15 sp017303895,Bacteria,Bacteroidota,Bacteroidia,2-12-FULL-35-15,2-12-FULL-35-15,2-12-FULL-35-15,2-12-FULL-35-15 sp017303895,d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;x__unclassified Bacteroidota;s__Bacteroidota bacterium,Bacteroidota bacterium,1898104,Scaffold,3605124,1345515,37.3235369503057,none,99.05,0.71,99.98,0.56,316,210,50,35
GCF_027864655.1,RS_GCF_027864655.1,GCA_027864655.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Oleispirillum;s__Oleispirillum naphthae,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oleispirillum,Oleispirillum naphthae,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Oleispirillaceae;g__Oleispirillum;s__Oleispirillum naphthae,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Oleispirillaceae;g__Oleispirillum;s__Oleispirillum naphthae,Oleispirillum naphthae,2838853,Scaffold,3214913,2188340,68.0747573658167,none,98.01,0.75,98.79,0.33,336,201,0,30
GCA_963677215.1,GB_GCA_963677215.1,GCA_963677215.1,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__G963676795;s__G963676795 sp963677215,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadales,Geopsychrobacteraceae,G963676795,G963676795 sp963677215,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;x__unclassified Geopsychrobacteraceae;s__Geopsychrobacteraceae bacterium,Geopsychrobacteraceae bacterium,3065857,Complete Genome,4256880,2238931,52.5955864388942,none,98.71,1.61,100,1.43,247,155,0,1
GCA_036742195.1,GB_GCA_036742195.1,GCA_036742195.1,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp036742195,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,RAAP-2 sp036742195,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;x__unclassified Acidimicrobiales;s__Acidimicrobiales bacterium,Acidimicrobiales bacterium,2201156,Scaffold,1344107,833281,62.0459163652907,none,98.29,1.28,96.59,0.15,171,117,0,52
GCF_030296015.1,RS_GCF_030296015.1,GCA_030296015.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Ferrimonas;s__Ferrimonas sp030296015,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Ferrimonas,Ferrimonas sp030296015,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;x__unclassified Ferrimonas;s__Ferrimonas sp. YFM,Ferrimonas sp. YFM,3028878,Complete Genome,4662746,2733298,58.6199205360961,none,100,0,100,0.38,310,185,0,1
GCF_001456355.1,RS_GCF_001456355.1,GCA_001456355.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium saopaulense,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium saopaulense,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides saopaulense,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides saopaulense,Mycobacteroides saopaulense,1578165,Complete Genome,4649175,3012720,64.80117440191,4545,99.5,0,99.98,0.06,693,300,0,1
GCF_900099655.1,RS_GCF_900099655.1,GCA_900099655.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Planococcus;s__Planococcus glaciei,Bacteria,Bacillota,Bacilli,Bacillales_A,Planococcaceae,Planococcus,Planococcus glaciei,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;s__Planococcus glaciei,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;s__Planococcus glaciei,Planococcus glaciei,459472,Scaffold,3917616,1830944,46.7416069954745,3827,99.34,0.22,100,0.53,275,151,0,34
GCF_000019165.1,RS_GCF_000019165.1,GCA_000019165.1,d__Bacteria;p__Bacillota;c__Desulfitobacteriia;o__Heliobacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium modesticaldum,Bacteria,Bacillota,Desulfitobacteriia,Heliobacteriales,Heliobacteriaceae,Heliomicrobium,Heliomicrobium modesticaldum,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium modesticaldum,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobium modesticaldum;x__Heliomicrobium modesticaldum Ice1,Heliomicrobium modesticaldum Ice1,35701,Complete Genome,3075407,1752219,56.9751906007888,2721,100,0.89,99.99,0.31,420,196,0,1
GCA_002389645.1,GB_GCA_002389645.1,GCA_002389645.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Salibacteraceae;g__SHAN690;s__SHAN690 sp002389645,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Salibacteraceae,SHAN690,SHAN690 sp002389645,d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;x__unclassified Flavobacteriales;s__Flavobacteriales bacterium UBA4422,Flavobacteriales bacterium UBA4422,1951007,Scaffold,2877545,1143814,39.7552845067857,0,99.46,4.84,99.43,3.81,278,186,27.27,47
GCF_036227605.1,RS_GCF_036227605.1,GCA_036227605.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp036227605,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp036227605,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;x__unclassified Streptomyces;s__Streptomyces sp. NBC_01439,Streptomyces sp. NBC_01439,2903867,Complete Genome,9578283,6834492,71.3540412201226,none,99.58,1.71,99.99,2.03,577,284,10,1
GCF_900168115.1,RS_GCF_900168115.1,GCA_900168115.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__Salegentibacter salinarum,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Salegentibacter salinarum,d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__Salegentibacter salinarum,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__Salegentibacter salinarum,Salegentibacter salinarum,447422,Scaffold,4310031,1602850,37.190544782256,3714,98.1,1.48,99.98,0.03,496,263,0,43
GCF_001746365.1,RS_GCF_036815025.1,GCA_036815025.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001746365,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp001746365,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;x__unclassified Streptomyces;s__Streptomyces sp. IBSBF 2806,Streptomyces sp. IBSBF 2806,2903529,Scaffold,9355153,6693614,71.5653060384437,none,99.79,0.29,100,0.87,460,233,0,1114
GCF_009498455.1,RS_GCF_014843395.1,GCA_014843395.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__Variovorax paradoxus_H,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Variovorax paradoxus_H,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;x__unclassified Variovorax;s__Variovorax sp. 38R,Variovorax sp. 38R,2774875,Complete Genome,6870625,4638714,67.5151678340762,none,100,0.59,100,0.65,427,214,0,1
