Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_008315115.2	SLUC_FBN_1.2	Sander lucioperca					FBNREF2018	male	NCBI Sander lucioperca Annotation Release 101	901221791	Chromosome	8/14/20	VTTG02	336		
GCA_928085145.1	PGI_NEZAVIv3	Nezara viridula							Annotation submitted by ROTHAMSTED RESEARCH	1185128795	Chromosome	6/30/22	CAKMRH01	84		
GCF_018555375.3	ASM1855537v3	Anguilla rostrata					EN2019	female	GCF_018555375.3-RS_2024_04	976090453	Chromosome	3/4/24	JAGKSO02	967		
GCA_019202805.1	ASM1920280v1	Arabidopsis suecica					As9502		Annotation submitted by Nanjing Agricultural University	271598466	Chromosome	7/13/21	JAEFBJ01	254		
GCF_009769545.1	fCycLum1.pri	Cyclopterus lumpus					fCycLum1	male	NCBI Cyclopterus lumpus Annotation Release 100	572885595	Chromosome	12/23/19	WNNC01	48		
GCF_016835505.1	ASM1683550v1	Polypterus senegalus					Bchr_013		NCBI Polypterus senegalus Annotation Release 100	3673863536	Chromosome	2/9/21	JAATIS01	9855		
GCF_003672135.1	Obir_v5.4	Ooceraea biroi					clonal line C1		NCBI Ooceraea biroi Annotation Release 100	223876465	Chromosome	10/23/18	QOIP01	139		
GCF_037126465.1	ASM3712646v1	Ornithodoros turicata					Travis	female	GCF_037126465.1-RS_2024_04	1071349989	Chromosome	3/13/24	JAZGRI01	378		
GCF_958295425.1	fSolSol10.1	Solea solea							GCF_958295425.1-RS_2023_08	643757955	Chromosome	7/6/23	CATQIT01	242		
GCF_014633365.1	ASM1463336v1	Diospyros lotus			Yz01				NCBI Diospyros lotus Annotation Release 100	630098508	Chromosome	9/21/20	JACRTX01	42		
GCA_035136125.1	Qrubra_687_v2.0	Quercus rubra				Indiana	pseudo-F2		"Annotation submitted by University of Tennessee, Knoxville"	738996406	Chromosome	1/5/24	JAXUIC01	935		
GCF_018492685.1	fAloSap1.pri	Alosa sapidissima					fAloSap1	male	NCBI Alosa sapidissima Annotation Release 100	903564947	Chromosome	5/25/21	JAHDTN01	73		
GCF_020536995.1	UMN_Dpol_1.0	Dreissena polymorpha					Duluth1	male	NCBI Dreissena polymorpha Annotation Release 100	1797942340	Chromosome	10/21/21	JAIWYP01	193		
GCF_002211085.1	PHallii_v3.1	Panicum hallii		FIL2					NCBI Panicum hallii Annotation Release 100	535889049	Chromosome	5/1/18	NCQW02	1027		
GCF_024763615.1	Ppap_2.1	Phlebotomus papatasi					M1	male	GCF_024763615.1-RS_2023_05	351607531	Chromosome	8/30/22	JANPWV01	645		
GCF_958449725.1	drRosRugo1.1	Rosa rugosa							GCF_958449725.1-RS_2024_01	417128682	Chromosome	7/18/23	CAUDJL01	77		
GCF_021917145.1	fHypTra1	Hypomesus transpacificus					Combined female	female	NCBI Hypomesus transpacificus Annotation Release 100	437273953	Chromosome	2/4/22	JAJTOO01	376		
GCA_037325665.1	US_GU_Lsax_2.0	Littorina saxatilis					snail1		Annotation submitted by Goteborg University	1256192465	Chromosome	3/20/24	JBAMIC01	4070		
GCF_002837175.3	ASM283717v5	Physeter catodon					SW-GA	female	GCF_002837175.3-RS_2023_04	2496209109	Chromosome	2/28/23	PGGR02	12168		
GCF_004010195.1	ASM401019v1	Chiloscyllium plagiosum					BGI_BamShark_2017	female	NCBI Chiloscyllium plagiosum Annotation Release 100	3556460701	Chromosome	1/10/19	QPFF01	101976		
GCA_000310025.1	ASM31002v1	Ectocarpus siliculosus		Ec 32					Annotation submitted by Genoscope - CEA	195810619	Chromosome	6/24/10	CABU01	1561		
GCF_023159225.1	ASM2315922v1	Perognathus longimembris pacificus					PPM17	male	NCBI Perognathus longimembris pacificus Annotation Release 100	2212099196	Chromosome	4/27/22	JALGBO01	6180		
GCA_028583565.1	CAU_O.ammon polii_1.0	Ovis ammon polii					CAU-MHL-2022a	male	Annotation submitted by China Agricultural University	2664279918	Chromosome	2/10/23	JAKZEL01	62		
GCF_000234665.1	ASM23466v4	Leishmania mexicana MHOM/GT/2001/U1103		MHOM/GT/2001/U1103					Annotation submitted by NCBI RefSeq	32108741	Chromosome	11/8/11	CADB01	588		
GCF_025612915.1	ASM2561291v2	Magallana angulata					pt1a10	female	GCF_025612915.1-RS_2022_12	624273838	Chromosome	10/7/22	JANFPH01	410		
GCA_015680905.1	ASM1568090v1	Coptis chinensis					HL-2020		Annotation submitted by Hubei University of Chinese Medicine	935659790	Chromosome	12/1/20	JADFTS01	116		
GCF_027943255.1	idAnaObli1_1.0	Anastrepha obliqua					idAnaObli1	male	GCF_027943255.1-RS_2023_03	836742189	Chromosome	1/24/23	JAPTHP01	205		
GCF_922984935.1	mMelMel3.1 paternal haplotype	Meles meles							NCBI Meles meles Annotation Release 100	2738678004	Chromosome	12/19/21	CAKLPM01	537		
GCF_905475395.1	inChrCarn1.1	Chrysoperla carnea							NCBI Chrysoperla carnea Annotation Release 100	560232532	Chromosome	4/15/21	CAJQGA01	337		
GCF_937001465.1	mOrcOrc1.1	Orcinus orca							GCF_937001465.1-RS_2023_02	2647335075	Chromosome	5/3/22	CAKZJT01	447		
GCA_037074985.1	ASM3707498v1	Solanum bulbocastanum			11H21				Annotation submitted by Obihiro Univerisity of Agriculture and Veterinary Medicine	737653378	Chromosome	3/13/24	JBANQN01	1631		
GCF_019703515.2	UBuf_Myxa_2	Myxocyprinus asiaticus				Aquarium Trade	MX2		GCF_019703515.2-RS_2023_02	2340848162	Chromosome	10/26/22	JAIGOD02	352		
GCF_024256425.1	CGAR_prim_01v2	Clarias gariepinus				Netherlands	MV-2021	male	GCF_024256425.1-RS_2023_03	969604269	Chromosome	7/13/22	JAMBPB01	47		
GCF_009762305.2	mZalCal1.pri.v2	Zalophus californianus					mZalCal1	male	NCBI Zalophus californianus Annotation Release 101	2409668595	Chromosome	7/14/20	WPOA02	46		
GCF_902655055.1	mLutLut1.2	Lutra lutra							GCF_902655055.1-RS_2023_03	2438442342	Chromosome	7/31/20	CACRWI02	43		
GCF_037042905.1	Lp3.0	Lytechinus pictus					F3 Inbred	male	GCF_037042905.1-RS_2024_03	811721768	Chromosome	3/7/24	JAZDCF01	368		
GCF_910596095.1	fThuMac1.1	Thunnus maccoyii							NCBI Thunnus maccoyii Annotation Release 100	782407452	Chromosome	7/7/21	CAJVDC01	57		
GCF_013758885.1	VT_AalbS3_pri_1.0	Anopheles albimanus		STELCA				female	NCBI Anopheles albimanus Annotation Release 100	172602732	Chromosome	8/6/20	JABUIU01	7		
GCF_020745825.1	Agelaius phoeniceus 1.1	Agelaius phoeniceus					BioBank_ID:100140	female	GCF_020745825.1-RS_2023_03	1188530404	Chromosome	3/15/23	JAIWQD01	440		
GCF_028858725.1	bColStr4.1.hap1	Colius striatus					bColStr4	female	GCF_028858725.1-RS_2023_12	1212464869	Chromosome	2/24/23	JARBXP01	190		
GCF_905147105.1	ilPieBrab1.1	Pieris brassicae							NCBI Pieris brassicae Annotation Release 100	292325833	Chromosome	1/28/21	CAJHUI01	401		
GCF_017976375.1	bCucCan1.pri	Cuculus canorus					bCucCan1	female	GCF_017976375.1-RS_2023_02	1180136575	Chromosome	4/15/21	JAGIYT01	150		
GCF_000699445.3	UoM_Shae.V3	Schistosoma haematobium						pooled male and female	Annotation submitted by The University of Melbourne	400271889	Chromosome	2/10/22	AMPZ03	163		
GCF_905163445.1	ilParAegt1.1	Pararge aegeria							NCBI Pararge aegeria Annotation Release 100	516571003	Chromosome	1/28/21	CAJHZN01	70		
GCF_028389875.1	bPtePen1.pri	Rhea pennata					bPtePen1	male	GCF_028389875.1-RS_2023_12	1269000025	Chromosome	2/6/23	JAQOLV01	179		
GCF_014839835.1	bDryPub1.pri	Dryobates pubescens					bDryPub1	female	GCF_014839835.1-RS_2023_03	1187939694	Chromosome	10/2/20	JACNMV01	180		
GCF_933775445.1	drPotAnse1.1	Argentina anserina							GCF_933775445.1-RS_2024_04	236973942	Chromosome	3/28/22	CAKOGO01	147		
GCF_929443795.1	bAccGen1.1	Accipiter gentilis							GCF_929443795.1-RS_2023_02	1398011397	Chromosome	2/9/22	CAKNBG01	454		
GCF_015220075.1	bFalRus1.pri	Falco rusticolus					bFalRus1	female	NCBI Falco rusticolus Annotation Release 100	1195829278	Chromosome	11/3/20	JADCQO01	132		
GCF_020882245.1	ASM2088224v1	Rhopalosiphum padi					XX-2018		GCF_020882245.1-RS_2023_11	338184925	Chromosome	11/16/21	JAJFBC01	35		
GCF_902686445.1	mSciCar1.2	Sciurus carolinensis							GCF_902686445.1-RS_2023_03	2815397268	Chromosome	7/31/20	CACRXI02	752		
GCF_011762505.1	mArvNil1.pat.X	Arvicanthis niloticus					mArvNil1	male	NCBI Arvicanthis niloticus Annotation Release 100	2496761438	Chromosome	3/27/20	JAAOMG01	1595		
GCA_027726005.1	MPIPZ_junEff1m_1	Juncus effusus					junEff1mFocal		Annotation submitted by Max-Planck institute for plant breeding research	258276744	Chromosome	1/12/23	JAMRDH01	383		
GCF_019609905.1	ASM1960990v1	Fusarium poae		DAOMC 252244					Annotation submitted by Agriculture and Agri-Food Canada	43859651	Chromosome	8/19/21	WOUF01	12		
GCF_002775205.1	X_maculatus-5.0-male	Xiphophorus maculatus		JP 163 A				male	NCBI Xiphophorus maculatus Annotation Release 102	704304519	Chromosome	12/7/17	PGSD01	101		
GCA_036186465.1	ASM3618646v1	Nesidiocoris tenuis		Japan					Annotation submitted by NARO	265555232	Chromosome	9/23/23		20		
GCF_036324505.1	JC_Emac_rtc_rv5	Eleginops maclovinus				Puerto Natales	JMC-PN-2008		GCF_036324505.1-RS_2024_03	606289673	Chromosome	2/1/24	JAUZQC01	26		
GCF_917208135.1	iyAthRosa1.1	Athalia rosae							NCBI Athalia rosae Annotation Release 103	171955050	Chromosome	10/13/21	CAKJPL01	14		
GCA_918026875.4	PGI_DIATSA_v4	Diatraea saccharalis							Annotation submitted by ROTHAMSTED RESEARCH	507694123	Chromosome	11/9/22	CAKJVI04	25		
GCF_026212275.2	iyMicDemo2.1a	Microplitis demolitor					Queensland-Clemson2020A	male	GCF_026212275.2-RS_2023_02	225878136	Chromosome	2/13/23	JANIEV01	31		
GCF_029873635.1	ASM2987363v1	Malania oleifera				guangnan	guangnan		GCF_029873635.1-RS_2023_07	1494424960	Chromosome	5/15/23	JARUNQ01	510		
GCF_009819885.2	bCatUst1.pri.v2	Catharus ustulatus					bCatUst1	female	NCBI Catharus ustulatus Annotation Release 101	1131616530	Chromosome	12/22/20	WNMQ02	160		
GCF_003711565.1	ASM371156v2	Takifugu flavidus					HTHZ2018	female	GCF_003711565.1-RS_2023_06	366286831	Chromosome	8/16/19	RHFK02	867		
GCF_013358895.1	ZZ_aureus	Oreochromis aureus	Guangdong	Israel				male	NCBI Oreochromis aureus Annotation Release 101	1005558595	Chromosome	6/19/20	JAAMTF01	303		
GCF_004379255.2	SspV2	Salvia splendens					huo1		NCBI Salvia splendens Annotation Release 100	805931446	Chromosome	5/20/21	PNBA02	1161		
GCF_029852145.1	iyMicMedi2.1	Microplitis mediator					UGA2020A	male	GCF_029852145.1-RS_2023_06	269288274	Chromosome	4/25/23	JANIGS01	23		
GCF_027595985.1	mSorAra2.pri	Sorex araneus					mSorAra2	male	GCF_027595985.1-RS_2023_04	2405993548	Chromosome	1/9/23	JAQBIA01	65		
GCF_014905175.1	ASM1490517v1	Aphidius gifuensis					YNYX2018		NCBI Aphidius gifuensis Annotation Release 100	156944493	Chromosome	11/16/20	JACMRX01	24		
GCA_028052125.1	Melaze_AO_1.1	Melia azedarach			JPN11				Annotation submitted by John Innes Centre	230843767	Chromosome	1/27/23	JAQMWS01	340		
GCF_029784165.1	ASM2978416v1	Wyeomyia smithii		HCP4-BCI-WySm-NY-G18				male	GCF_029784165.1-RS_2023_04	769230131	Chromosome	4/19/23	JARQTK01	266		
GCF_017562075.2	AmerM5.1	Anopheles merus		MAF				male	NCBI Anopheles merus Annotation Release 100	294364394	Chromosome	3/24/21	JADFFO01	1327		
GCF_027596085.1	Afim_UVic_2022	Anoplopoma fimbria	Golden Eagle Sablefish				UVic2021		GCF_027596085.1-RS_2023_03	653543715	Chromosome	2/16/23	JAPDVQ01	7493		
GCF_000981445.1	Bbig001	Babesia bigemina		Bond					Annotation submitted by NCBI RefSeq	13840936	Chromosome	6/13/14		483		
GCF_014529535.1	BU_Bcop_v1	Bradysia coprophila		Holo2				male	NCBI Bradysia coprophila Annotation Release 100	309728657	Chromosome	9/11/20	VSDI01	742		
GCF_949316205.1	fPlaFle2.1	Platichthys flesus							GCF_949316205.1-RS_2024_01	597120941	Chromosome	4/5/23	CASGFU01	108		
GCF_024139115.2	GZ_Asu_2	Armigeres subalbatus					Guangzhou_Male	male	GCF_024139115.2-RS_2024_02	1335741332	Chromosome	12/29/23	JAMXBT02	2078		
GCF_000003225.4	ASM322v1	Theileria annulata		Ankara isolate clone C9					Annotation submitted by The Sanger Institute	8352220	Chromosome	7/29/05		7		
GCF_001040885.1	S_ratti_ED321	Strongyloides ratti		ED321 Heterogonic					Annotation submitted by EBI	43150242	Chromosome	9/18/14		135		
GCF_963082655.1	idStoCalc2.1	Stomoxys calcitrans							GCF_963082655.1-RS_2023_08	1070934565	Chromosome	8/9/23	CAUJBY01	297		
GCA_023974075.1	KU_Ca_2.0	Chaenocephalus aceratus					KU_202001	female	Annotation submitted by Korea Polar Research Institute	1065596499	Chromosome	6/29/22	JAMFTG01	3134		
GCF_021184085.1	OgorEven_v1.0	Oncorhynchus gorbuscha				Even-year	QuinsamMale2020	male	NCBI Oncorhynchus gorbuscha Annotation Release 100	2690266878	Chromosome	12/15/21	JAGYUW01	19027		
GCF_015708825.1	ASM1570882v1	Lethenteron reissneri					LAM-NWPU_2019-01	male	GCF_015708825.1-RS_2023_12	1063012140	Chromosome	12/1/20	JADLOY01	1945		
GCA_030169165.1	ASM3016916v1	Centaurea solstitialis					CAN-66		Annotation submitted by UAEEB-DL	765066052	Chromosome	6/6/23	JARYMX01	1076		
GCF_014773155.1	arast.V10309.gnm1.PFL2	Arachis stenosperma			V10309				GCF_014773155.1-RS_2023_06	1328990366	Chromosome	10/2/20	JAAOXF01	30		
GCA_026586065.1	Dzin_1.0	Dioscorea zingiberensis					Dzin_1.0		Annotation submitted by Wuhan University	629184705	Chromosome	12/2/22	JAGGNH01	210		
GCF_963854185.1	fSarPil1.1	Sardina pilchardus							GCF_963854185.1-RS_2024_01	869396467	Chromosome	12/14/23	CAWKYN01	240		
GCA_039657295.1	UGA_CmTU1867-BEI_1.0	Cryptosporidium meleagridis					TU1867		Annotation submitted by Cryptocapture	9178484	Chromosome	5/21/24	JBCHVM01	13		
GCA_030490815.1	UCONN_Acsa_1.0	Acer saccharum					NS2018		Annotation submitted by University of Connecticut	626454929	Chromosome	7/18/23	JAUESC01	388		
GCF_001633185.2	ValleyOak3.2	Quercus lobata					SW786		NCBI Quercus lobata Annotation Release 100	845947251	Chromosome	1/11/19	LRBV02	2002		
GCA_029030765.1	ASM2903076v1	Salix suchowensis			P295				Annotation submitted by Cornell University	382054263	Chromosome	3/14/23	JAPFFH01	1257		
GCF_002078875.1	NumMel1.0	Numida meleagris	g44 Domestic line				19003	male	NCBI Numida meleagris Annotation Release 100	1043247365	Chromosome	6/1/17	MTSP01	2738		
GCF_000165445.2	Mmur_3.0	Microcebus murinus					mixed	pooled male and female	NCBI Microcebus murinus Annotation Release 101	2487392024	Chromosome	2/6/17	ABDC03	7677		
GCF_003713205.1	Ceug_1.0	Coffea eugenioides					CCC68of	hermaphrodite	NCBI Coffea eugenioides Annotation Release 100	699903961	Chromosome	11/8/18	RHJT01	3530		
GCF_000242695.1	LepOcu1	Lepisosteus oculatus					Spotted Gar 1	female	NCBI Lepisosteus oculatus Annotation Release 101	945861706	Chromosome	1/13/12	AHAT01	2105		
GCF_022045245.1	ASM2204524v1	Lucilia cuprina					Lc7/37	pooled male and female	NCBI Lucilia cuprina Annotation Release 101	409159265	Chromosome	2/8/22	JAKMAP01	8457		
GCF_002237135.1	ASM223713v2	Teleopsis dalmanni					2A	female	NCBI Teleopsis dalmanni Annotation Release 100	623660103	Chromosome	11/6/20	NLCU02	19962		
GCF_021869965.1	sRhiTyp1.1	Rhincodon typus					14	male	NCBI Rhincodon typus Annotation Release 101	2881325413	Chromosome	2/3/22	JAHMAH01	16776		
GCF_001601855.1	ASM160185v1	Plasmodium reichenowi		SY57					Annotation submitted by NCBI RefSeq	20477502	Chromosome	4/8/16	LVLA01	776		
GCF_023343835.1	bLagMut1 primary	Lagopus muta					bLagMut1	female	NCBI Lagopus muta Annotation Release 100	1026755127	Chromosome	5/12/22	JAMCCT01	164		
GCF_028769735.1	RI_Zleu_2.0	Zonotrichia leucophrys gambelii					GWCS_2022_RI	female	GCF_028769735.1-RS_2024_04	1123996003	Chromosome	12/27/23	JAPPSN02	3792		
GCF_949987535.1	mBalAcu1.1	Balaenoptera acutorostrata							GCF_949987535.1-RS_2023_06	2772885358	Chromosome	5/1/23	CATLKF01	1374		
GCF_030028045.1	mHipAmp2.hap2	Hippopotamus amphibius kiboko					mHipAmp2	female	GCF_030028045.1-RS_2023_06	2538242855	Chromosome	5/18/23	JASFZL01	356		
GCF_022605725.1	icAntGran1.3	Anthonomus grandis grandis						male	NCBI Anthonomus grandis grandis Annotation Release 100	697452952	Chromosome	8/3/22	JAKYJU02	304		
GCF_021613505.1	UCLA_HA_Equagga_1.0	Equus quagga					Etosha38		GCF_021613505.1-RS_2023_03	2500914156	Chromosome	1/31/22	JAKJSB01	12506		
GCF_029407905.1	PCC_UOA_SB_1v2	Bubalus kerabau	swamp buffalo			Philippines	K-KA32	female	GCF_029407905.1-RS_2024_02	2898492518	Chromosome	3/31/23	JARFXY01	115		
GCF_028018385.1	mNeoNeb1.pri	Neofelis nebulosa					mNeoNeb1	male	GCF_028018385.1-RS_2023_07	2468345093	Chromosome	1/31/23	JAQMCS01	33		
GCF_027574615.1	DD_ASM_mEF_20220401	Eptesicus fuscus					TK198812	male	GCF_027574615.1-RS_2023_03	2008057866	Chromosome	1/9/23	JANZWY01	48		
GCF_033115175.1	mLepTim1.pri	Lepus europaeus					LE1	male	GCF_033115175.1-RS_2024_01	2930954587	Chromosome	10/31/23	JAVHNT01	650		
GCF_026419965.1	mKogBre1 haplotype 1	Kogia breviceps					mKogBre1	female	GCF_026419965.1-RS_2023_08	2555838840	Chromosome	11/27/22	JAPMIF01	580		
GCF_027406575.1	mNycCou1.pri	Nycticebus coucang					mNycCou1	male	GCF_027406575.1-RS_2023_03	2917154053	Chromosome	12/28/22	JAPZEE01	84		
GCA_037954025.1	Pcoc_1	Phaseolus coccineus					JINMINGXINNONG_FW02		Annotation submitted by Agricultural Genomics Institute at Shenzhen	588672384	Chromosome	4/4/24	JAYMYR01	235		
GCF_019393635.1	mDroGli1.pri	Dromiciops gliroides					mDroGli1	female	NCBI Dromiciops gliroides Annotation Release 100	3303199800	Chromosome	8/3/21	JAHYBR01	17		
GCF_943737925.1	idAnoNiliSN_F5_01	Anopheles nili							GCF_943737925.1-RS_2023_02	195220701	Chromosome	6/24/22	CALSGA01	156		
GCA_033026305.1	C_molitorella v1.0	Cirrhinus molitorella					prfri	male	Annotation submitted by Pearl River Fisheries Research Institute Chinese Academy of Fishery Sciences	1033411071	Chromosome	10/25/23	JAUYZG01	42		
GCF_020740605.2	mLemCat1.pri	Lemur catta					mLemCat1	male	NCBI Lemur catta Annotation Release 100	2245584463	Chromosome	11/4/21	JAJGPY01	184		
GCF_028858705.1	bGruAme1.mat	Grus americana					bGruAme1	male	GCF_028858705.1-RS_2023_03	1257821324	Chromosome	2/24/23	JARBUS01	929		
GCF_025231255.1	RU_DBia_V1.1	Drosophila biarmipes		raj3				female	NCBI Drosophila biarmipes Annotation Release 103	193597863	Chromosome	9/16/22	JANEAA01	51		
GCF_009650485.2	ASM965048v2	Drosophila albomicans		15112-1751.03				female	NCBI Drosophila albomicans Annotation Release 101	167525814	Chromosome	8/16/22	WJDZ02	219		
GCF_036013445.1	bCalNic1.hap1	Caloenas nicobarica					bCalNic1	female	GCF_036013445.1-RS_2024_06	1285834579	Chromosome	1/26/24	JAYKXI01	806		
GCF_023638135.1	bFalBia1.pri	Falco biarmicus					bFalBia1	female	GCF_023638135.1-RS_2023_05	1285492283	Chromosome	6/2/22	JAMOAT01	397		
GCF_958979055.1	dhAlnGlut1.1	Alnus glutinosa							GCF_958979055.1-RS_2024_01	456761304	Chromosome	7/19/23	CAUEIG01	15		
GCF_932274485.2	xgPatVulg1.2	Patella vulgata							GCF_932274485.2-RS_2023_05	695367781	Chromosome	10/7/22	CAKNZN02	22		
GCF_020740725.1	bCorHaw1.pri.cur	Corvus hawaiiensis					bCorHaw1	female	NCBI Corvus hawaiiensis Annotation Release 100	1151594481	Chromosome	11/4/21	JAJGSY01	187		
GCF_943734655.1	idSabCyanKW18_F2	Sabethes cyaneus							GCF_943734655.1-RS_2023_02	676043992	Chromosome	9/15/22	CALSDR02	8		
GCF_020740685.1	mJacJac1.mat.Y.cur	Jaculus jaculus					mJacJac1	male	NCBI Jaculus jaculus Annotation Release 102	2863848715	Chromosome	11/4/21	JAJGSA01	159		
GCF_019097595.1	SWU_Hwy_1.0	Hemibagrus wyckioides					EC202008001	female	GCF_019097595.1-RS_2023_07	789799567	Chromosome	7/6/21	JAHKSW01	72		
GCF_037157495.1	bLatDis1.hap1	Lathamus discolor					bLatDis1	female	GCF_037157495.1-RS_2024_06	1241003407	Chromosome	3/15/24	JBBBVN01	367		
GCF_009819795.1	bAytFul2.pri	Aythya fuligula					bAytFul2	female	NCBI Aythya fuligula Annotation Release 100	1126988109	Chromosome	12/31/19	WNMM01	104		
GCF_036971685.1	bPatFas1.hap2	Patagioenas fasciata					bPatFas1	female	GCF_036971685.1-RS_2024_06	1410041145	Chromosome	3/6/24	JBAMBT01	452		
GCF_017976325.1	fCheRos1.pri	Chelmon rostratus					fCheRos1		NCBI Chelmon rostratus Annotation Release 100	644191893	Chromosome	4/15/21	JAGIYV01	28		
GCF_026419915.1	bHarHar1 primary haplotype	Harpia harpyja					bHarHar1	female	GCF_026419915.1-RS_2023_02	1351447071	Chromosome	11/27/22	JAPMHW01	322		
GCF_907165205.1	icCocSept1.1	Coccinella septempunctata							NCBI Coccinella septempunctata Annotation Release 100	398849173	Chromosome	5/17/21	CAJRAZ01	24		
GCF_026979565.1	bVidCha1 merged haplotype	Vidua chalybeata					OUT-0048	female	GCF_026979565.1-RS_2023_03	1080440577	Chromosome	12/21/22	JAPVQZ01	177		
GCF_020497125.1	ASM2049712v1	Mauremys mutica				Southern	MM-2020	female	NCBI Mauremys mutica Annotation Release 100	2484351270	Chromosome	10/14/21	JAHDVG01	594		
GCF_030936135.1	bGavSte3.hap2	Gavia stellata					bGavSte3	male	GCF_030936135.1-RS_2023_09	1321270170	Chromosome	8/30/23	JAVGIZ01	1185		
GCF_012460135.2	BPBGC_Mater_1.1	Molothrus ater	brown headed cowbird				BHLD 08-10-18	female	GCF_012460135.2-RS_2023_03	1087219985	Chromosome	10/11/22	JAAQZI01	373		
GCF_019740435.1	SWU_Gaff_1.0	Gambusia affinis						female	NCBI Gambusia affinis Annotation Release 100	680149392	Chromosome	8/25/21	JAAAQJ01	36		
GCF_015220715.1	fPygNat1.pri	Pygocentrus nattereri					fPygNat1	male	NCBI Pygocentrus nattereri Annotation Release 101	1222050449	Chromosome	11/3/20	JADFAU01	55		
GCF_009650955.1	bCorMon1.pri	Corvus moneduloides					bCorMon1	female	NCBI Corvus moneduloides Annotation Release 100	1112734094	Chromosome	11/14/19	WHPO01	105		
GCA_944470425.2	tdSchBovi1.2	Schistosoma bovis							Annotation submitted by WELLCOME SANGER INSTITUTE	391788201	Chromosome	9/20/22	CALYCU02	77		
GCA_040110945.1	Zoavi_1_2	Zoarces viviparus					NO-MEL_2022_Ind0_liver	female	Annotation submitted by University of Trier	663017713	Chromosome	6/7/24	JBCEZU01	607		
GCF_012432095.1	ASM1243209v1	Onychostoma macrolepis					SWU-2019	female	GCF_012432095.1-RS_2023_08	886569841	Chromosome	4/17/20	JAAMOB01	352		
GCA_035610365.1	HAU_Aqlei_1.0	Aquatica leii					ONT1	male	Annotation submitted by Huazhong Agricultural University	1036906664	Chromosome	1/12/24	JARPUR01	39		
GCF_016746245.2	Prin_Dsan_1.1	Drosophila santomea		STO CAGO 1482				female	NCBI Drosophila santomea Annotation Release 101	146800522	Chromosome	7/30/21	JAECZZ02	104		
GCF_036250125.1	bDixPip1.hap1	Pseudopipra pipra					bDixPip1	female	GCF_036250125.1-RS_2024_04	1165201947	Chromosome	1/31/24	JAZAVG01	696		
GCF_949628265.1	ieCloDipt1.1	Cloeon dipterum							GCF_949628265.1-RS_2024_05	190111064	Chromosome	3/17/23	CATIVH01	10		
GCF_030273125.1	C.striata_1.0	Centropristis striata				Rhode Island	RG_2023a		GCF_030273125.1-RS_2023_08	926021963	Chromosome	6/20/23	JASAOH01	92		
GCA_035578085.1	ASM3557808v1	Solanum pinnatisectum					LQN		Annotation submitted by Yichun University	664135451	Chromosome	1/12/24	JAWPEI01	140		
GCF_020745735.1	sHemOce1.pat.X.cur.	Hemiscyllium ocellatum					sHemOce1	male	GCF_020745735.1-RS_2023_11	3983466396	Chromosome	11/5/21	JAJGRY01	1962		
GCF_030490865.1	bPoeAtr1.hap1	Poecile atricapillus					bPoeAtr1	female	GCF_030490865.1-RS_2023_08	1251116877	Chromosome	7/18/23	JAUKOI01	306		
GCF_916048215.2	drMalSylv7.2	Malus sylvestris							NCBI Malus sylvestris Annotation Release 100	640969901	Chromosome	7/6/22	CAJZHM02	32		
GCF_009769625.2	bCygOlo1.pri.v2	Cygnus olor					bCygOlo1	male	NCBI Cygnus olor Annotation Release 100	1134169903	Chromosome	3/31/21	WNMI02	170		
GCF_033807715.1	fColSai1.1	Cololabis saira					AMF1-May2022	male	GCF_033807715.1-RS_2023_12	1146345828	Chromosome	11/22/23	JAWMCI01	758		
GCF_900324485.2	fMasArm1.2	Mastacembelus armatus							NCBI Mastacembelus armatus Annotation Release 101	591935101	Chromosome	3/16/19	OOHQ02	122		
GCF_009764565.3	rDerCor1.pri.v4	Dermochelys coriacea					rDerCor1	male	NCBI Dermochelys coriacea Annotation Release 101	2164762090	Chromosome	8/25/21	WSPL04	40		
GCF_004126475.2	mPhyDis1.pri.v3	Phyllostomus discolor					MPI-MPIP mPhyDis1	male	NCBI Phyllostomus discolor Annotation Release 101	2108832841	Chromosome	5/12/20	RXPA02	77		
GCF_009873245.2	mBalMus1.pri.v3	Balaenoptera musculus					JJ_BM4_2016_0621	male	NCBI Balaenoptera musculus Annotation Release 100	2374852541	Chromosome	10/2/20	VNFC03	105		
GCF_016859285.1	ASM1685928v1	Xiphias gladius	wild			Sanya	SHS-SW01	male	NCBI Xiphias gladius Annotation Release 100	691763775	Chromosome	2/12/21	JADGDB01	1481		
GCA_036429605.1	ASM3642960v1	Cladobotryum mycophilum		ATHUM6906					Annotation submitted by National and Kapodistrian University of Athens (NKUA)	40603195	Chromosome	2/7/24	JAVFKD01	15		
GCF_963921805.1	bPhaCar2.1	Phalacrocorax carbo							GCF_963921805.1-RS_2024_04	1283623959	Chromosome	2/9/24	CAWUGV01	350		
GCF_009769535.1	rThaEle1.pri	Thamnophis elegans					rThaEle1	female	NCBI Thamnophis elegans Annotation Release 100	1672190305	Chromosome	12/23/19	WNNA01	365		
