"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","16S seq. accession number",GC-content
158352,YSF-03,"DSM 104044, BCRC AR10049, NBRC 112514",1,"Methanolobus psychrotolerans",GCA_002243045,KX573102,41.3
7076,,"DSM 2278, ATCC 35996, OCM 150, Tindari 3",1,"Methanolobus tindarius",1090322.3,M59135,46.0
,,,,,2515075008,,
,,,,,GCA_000504205,,
7082,SD-1,"DSM 21339, ATCC BAA-1601",1,"Methanolobus zinderi",2883920249,EU711413,42
,,,,,536044.3,,
,,,,,GCA_013388255,,
18149,B10,"DSM 25720, CSUR P135, JCM 31472",1,"Methanomassiliicoccus luminyensis",1175296.12,HQ896499,59.93
,,,,,2518645582,,
,,,,,GCA_000308215,,
132665,MobH,"DSM 21220, NBRC 104160",1,"Methanoeremita antiquus",GCA_029633915,AB370246,37.6
7040,"1, BP","DSM 1539, ATCC 35094, JCM 10551",1,"Methanomicrobium mobile",2571042922,AY196679,48.8
,,,,,GCA_000711215,M59142,
158342,AMET1,"DSM 28684, NBRC 110805, UNIQEM U982",1,"Methanonatronarchaeum thermophilum",2786546529,KY449317,38.00
,,,,,GCA_002153915,,
7041,MC1,"DSM 3599, OCM 102",1,"Methanoplanus endosymbiosus",GCA_024662215,AB370248,38.7
,,,,,,FR733674,
,,,,,,Z29435,
7042,M3,"DSM 2279, ATCC 35062, OCM 101",1,"Methanoplanus limicola",2506381025,M59143,42
,,,,,937775.13,,
,,,,,GCA_000243255,,
7044,AV19,"DSM 6324, JCM 9639, NBRC 100938",1,"Methanopyrus kandleri",190192.8,M59932,59
,,,,,638154507,,60
,,,,,GCA_000007185,,
17856,6A8,"DSM 21154, JCM 14090",1,"Methanoregula boonei",456442.19,DQ282124,54.5
,,,,,640753014,,
,,,,,GCA_000017625,,
17857,SMSP,"DSM 22288, NBRC 105244",1,"Methanoregula formicica",2508501105,AB479390,56.2
,,,,,593750.7,,
,,,,,GCA_000327485,,
131458,AME2,"DSM 24634, NBRC 110091",1,"Methanosalsum natronophilum",2926421783,HM053965,44.8
,,,,,GCA_024808815,,
7055,WeN5,"DSM 4017, NBRC 107636, OCM 62",1,"Methanosalsum zhilinae",2502790017,FJ224366,42.0
,,,,,679901.8,,
,,,,,GCA_000217995,,
7086,C2A,"DSM 2834, ATCC 35395, JCM 12185, OCM 95",1,"Methanosarcina acetivorans",188937.25,M59137,41.0
,,,,,638154508,,
,,,,,GCA_000007345,,
7087,MS,"DSM 800, ATCC 43569, JCM 10043, OCM 38, NBRC 100474, VKM B-1635",1,"Methanosarcina barkeri",1298606.3,AB973360,38.8
,,,,,1434108.4,AJ012094,39
,,,,,1434108.6,JQ346756,
,,,,,2630968729,,
,,,,,2684622504,,
,,,,,GCA_000970025,,
,,,,,GCA_001316305,,
7091,227,"DSM 1538, ATCC 43241, OCM 35",0,"Methanosarcina barkeri",1434106.5,M59144,38.8
,,,,,1434106.7,,
,,,,,2630968686,,
,,,,,GCA_000970065,,
132429,E03.2,"DSM 100822, JCM 30921",1,"Methanosarcina flavescens",2651869834,KT828541,41.3
,,,,,GCA_001304615,,
7131,HB-1,"DSM 21571, JCM 15518, NBRC 102577",1,"Methanosarcina horonobensis",1434110.4,AB288262,41
,,,,,1434110.5,,41.4
,,,,,2627854269,,
,,,,,2684622506,,
,,,,,GCA_000970285,,
,,,,,GCA_001316205,,
7101,Gö1,"DSM 3647, ATCC BAA-159, JCM 11833, OCM 88",0,"Methanosarcina mazei",192952.21,JQ346757,41
,,,,,GCA_000007065,,
7106,TMA,"DSM 9195, JCM 9314, NBRC 101201",0,"Methanosarcina mazei",1293038.3,AB065295,42.1
,,,,,1434116.4,,
,,,,,2209.222,,
,,,,,2681813026,,
,,,,,GCA_001315865,,
,,,,,GCA_019669945,,
,,,,,GCA_025035885,,
7083,T4/M,"DSM 3028, OCM 156",1,"Methanosarcina siciliae",1434120.4,FR733698,41.5
,,,,,2651869866,,
,,,,,GCA_000970085,,
24170,SMA-21,"DSM 26065, JCM 18468",1,"Methanosarcina soligelidi",2576861399,AB973359,40.9
,,,,,GCA_000744315,JF812255,41.5
7108,WH1,"DSM 4659",0,"Methanosarcina sp.",1434102.4,M59136,43.0
,,,,,2627853658,,
,,,,,GCA_000970005,,
24168,MC-15,"DSM 26047, JCM 18469",1,"Methanosarcina spelaei",2791355116,JF812257,39
,,,,,GCA_002287235,LC006853,39.0
7121,TM-1,"DSM 1825, ATCC 43570, OCM 12, VKM B-1830",1,"Methanosarcina thermophila",2636415612,AB973357,42.0
,,,,,523844.20,JQ346758,
,,,,,GCA_000969885,M59140,
7126,Z-761,"DSM 1232, ATCC 35090, OCM 85",1,"Methanosarcina vacuolata",1434123.4,FR733661,36.3
,,,,,1434123.6,,
,,,,,2648501188,,
,,,,,GCA_000969905,,
6979,1R-7,"DSM 4103, OCM 183",1,"Methanosphaera cuniculi",1077256.4,HE582783,23.0
,,,,,2802429591,,
,,,,,GCA_002287195,,
,,,,,GCA_003149675,,
6980,MCB-3,"DSM 3091, ATCC 43021, JCM 11832, OCM 149",1,"Methanosphaera stadtmanae",339860.19,JQ346752,26.0
,,,,,637000163,M59139,
,,,,,GCA_000012545,,
17855,E1-9c,"DSM 19958, ATCC BAA-1556, ATCC BAA-1565",1,"Methanosphaerula palustris",521011.8,EU156000,58.9±2
,,,,,643348525,,
,,,,,GCA_000021965,,
7132,"JF-1, JF1","DSM 864, ATCC 27890, JCM 10133, OCM 16, NBRC 100397",1,"Methanospirillum hungatei",323259.15,AB517987,45
,,,,,637000164,JQ346747,45.0
,,,,,GCA_000013445,M60880,
7136,Ki8-1,"DSM 22751, JCM 16384, NBRC 104920",1,"Methanospirillum lacunae",GCA_003173355,AB517986,45.3
24171,"ps, Pt1","DSM 26304, VKM B-2808",1,"Methanospirillum stamsii",GCA_003173335,HF569045,40
6896,ADZ,"DSM 7466, ATCC 51443, VKM B-1962",1,"Methanothermobacter defluvii",2757320366,X99046,62.2
,,,,,49339.3,,
,,,,,GCA_003385755,,
6898,Marburg,"DSM 2133, NBRC 100331, OCM 82, JCM 14651",1,"Methanothermobacter marburgensis",648028041,AF095262,47.6
,,,,,79929.14,X15364,
,,,,,79929.8,,
,,,,,GCA_000145295,,
,,,,,GCA_027555065,,
23082,RMAS,"DSM 23052, JCM 16532, NBRC 106236",1,"Methanothermobacter tenebrarum",GCA_023167465,AB523785,41.5
6882,"Delta H, DeltaH","DSM 1053, ATCC 29096, JCM 10044, NBRC 100330, OCM 143, VKM B-1908",1,"Methanothermobacter thermautotrophicus",187420.15,AY196660,48.6
,,,,,638154510,X62857,49.7
,,,,,GCA_000008645,X68720,50.7
,,,,,GCA_027554905,,52
6894,,"DSM 2970, ATCC 43096, NBRC 100332, VKM B-1829, JCM 14652, OCM 154",1,"Methanothermobacter wolfei",GCA_025397995,AB104858,48.5
,,,,,,X89406,61
,,,,,,,61.0
7003,IH1,"DSM 14208, JCM 11175",1,"Methanothermococcus okinawensis",647113.11,AB057722,33.5
,,,,,647113.14,,
,,,,,650716055,,
,,,,,GCA_000179575,,
7137,"V24 S","DSM 2088, ATCC 43054, JCM 10308",1,"Methanothermus fervidus",523846.9,M59145,33
,,,,,649633067,,33.0
,,,,,GCA_000166095,,
23083,GP6,"DSM 3671, JCM 10134, NBRC 103675, OCM 69, ATCC 35969, NRC 2989",0,"Methanothrix soehngenii",GCA_000204415,AB679168,50.2
,,,,,,AH003992,61
,,,,,,,61.0
7050,PT,"DSM 6194, JCM 14653, NBRC 101360",0,"Methanothrix thermoacetophila",349307.15,AB071701,52.7
,,,,,639633038,,
,,,,,GCA_000014945,,
6988,Mc-S-70,"DSM 16983, ATCC BAA-687, JCM 11930",1,"Methanotorris formicicus",2506520039,AB100884,33.3
,,,,,647171.129,,
,,,,,GCA_000243455,,
6987,,"DSM 5666, JCM 11834, Kol 5",1,"Methanotorris igneus",650716056,M59125,31
,,,,,,,31.0
17657,ZC-1,"DSM 18856, CGMCC 1.5056",1,"Methermicoccus shengliensis",1122233.4,DQ787474,56
,,,,,2565956510,,
,,,,,GCA_000711905,,
134120,PM1,"ATCC BAA-1232, LMG 22953",1,"Methylibium petroleiphilum",420662.15,AF176594,69
,,,,,420662.29,,
,,,,,640069319,,
,,,,,GCA_000015725,,
7232,T-11,"DSM 5685, ATCC 29475, DSM 46232, IMET 10774, NCIMB 11375, JCM 2850, LMG 6082, VKM B-2060",1,"Methylobacillus glycogenes",1236959.3,FR733701,53.2
,,,,,2585427884,,54.1
,,,,,GCA_000617925,,
168939,"Z-0021, Z-002I","DSM 9914, VKM B-2103",1,"Methylobacter psychrophilus",GCA_025583945,AF152597,45.6
134145,SV96,"ATCC BAA-1195, DSM 17260",1,"Methylobacter tundripaludum",648276688,AJ414655,47
,,,,,697282.3,,
,,,,,GCA_000190755,,
7180,AR27,"DSM 17169, CCM 7305, CECT 7069",1,"Methylobacterium adhaesivum",GCA_022179065,AB302928,63.6
,,,,,,AM040156,
7182,5413S-11,"DSM 19013, KACC 11766, JCM 16406",1,"Methylobacterium aerolatum",2928195108,EF174498,73.2
,,,,,GCA_022179085,,
7176,GR16,"DSM 16371, CCM 7218, CECT 5998, CIP 108333",1,"Methylobacterium aquaticum",2634166393,AB252197,67.3
,,,,,270351.6,AJ635303,67.5
,,,,,GCA_001043915,,
7186,B0021,"DSM 19569, NBRC 103629, NCIMB 14379",1,"Methylobacterium brachiatum",2928975616,AB175649,69.2-69.7
,,,,,GCA_020523825,,
24174,99b,"DSM 24105, NBRC 107710",1,"Methylobacterium brachythecii",1176177.3,AB703239,66.5
,,,,,2829871319,,
,,,,,GCA_014196345,,
7195,F3.2,"DSM 21893, LMG 24788, CCUG 62366",1,"Methylobacterium bullatum",570505.5,FJ268657,67.1
,,,,,GCA_014845095,,
,,,,,GCA_022179105,,
159850,PR1016A,"KACC 19662, JCM 32670",1,"Methylobacterium currus",2841517901,MH158285,70.2
,,,,,GCA_003058325,MH158286,
,,,,,,MH158287,
,,,,,,MH158288,
,,,,,,MH158289,
,,,,,,MH158290,
,,,,,,MH158291,
,,,,,,MH158292,
,,,,,,MH158293,
,,,,,,MH158294,
7198,SW08-7,"DSM 22415, KCTC 22512",1,"Methylobacterium dankookense",GCA_022179165,FJ155589,68.9
,,,,,GCA_902141855,,
166104,17SD2-17,"KCTC 52908, NBRC 112876",1,"Methylobacterium durans",GCA_003173715,KY887690,68.7
158776,IER25-16,"KACC 19280, JCM 32048",1,"Methylobacterium frigidaeris",2839310330,KY864396,70
,,,,,GCA_002759055,,
,,,,,GCA_022179185,,
7166,O-31,"DSM 5686, ATCC 43884, NCIMB 12417, CCUG 36914, CIP 103775, IFO 15843, JCM 10890, BCRC 17093, NBRC 15843",1,"Methylobacterium fujisawaense",107400.3,AB175634,71.8
,,,,,2829760844,AJ250801,
,,,,,GCA_014138435,AM237344,
7200,23e,"DSM 24027, NBRC 107716",1,"Methylobacterium gnaphalii",1010610.3,AB627071,67.2
,,,,,GCA_007992215,,
,,,,,GCA_022179205,,
133689,Gh-105,"CCM 7572, NRRL B-51692",1,"Methylobacterium gossipiicola",2651870128,EU912445,64.2
,,,,,GCA_900113485,,
7188,002-074,"DSM 19564, NBRC 103626, NCIMB 14376",1,"Methylobacterium gregans",2928278735,AB252200,69.9-70.1
,,,,,GCA_022179245,,
24175,87e,"DSM 24195, NBRC 107714",1,"Methylobacterium haplocladii",1176176.3,AB698691,67.3
,,,,,2900261899,,
,,,,,GCA_007992175,,
,,,,,GCA_022179265,,
7175,GP34,"DSM 16372, CCM 7219, CECT 5997, CIP 108332",1,"Methylobacterium hispanicum",GCA_022179285,AB252198,67.5
,,,,,,AJ635304,
163873,,"JCM 30761, MTCC 12298",1,"Methylobacterium indicum",GCA_001043895,KP272100,69.9
163874,,"JCM 30762, MTCC 12299",0,"Methylobacterium indicum",GCA_001043875,KP272101,70.3
7183,5317S-33,"DSM 19015, KACC 11765, JCM 16407",1,"Methylobacterium iners",GCA_022179305,EF174497,68
,,,,,,,68.0
7179,AR24,"DSM 17168, CCM 7304, CECT 7068",1,"Methylobacterium isbiliense",GCA_022179325,AB302929,69.35
,,,,,,AJ888239,69.7
,,,,,,AJ888241,
134213,S2R03-9,"KCTC 12671, LMG 23639",1,"Methylobacterium jeotgali",GCA_022179345,DQ471331,64.9
7190,002-079,"DSM 19563, NBRC 103627, NCIMB 14377",1,"Methylobacterium komagatae",2574179709,AB252201,68.7
7194,440,"DSM 23933, CECT 7806",1,"Methylobacterium longum",GCA_022179385,FN868949,68.6
7149,"A 47","DSM 1708, ATCC 29983, ICPB 4095, CCUG 16482, JCM 2829, CIP 101129, IFO 15688, LMG 5275, NBRC 15688, NCIMB 11561, NRRL B-14246, VTT E-981080",1,"Methylobacterium mesophilicum",GCA_022179445,AB175636,65.8
,,,,,,AJ400919,66
,,,,,,D32225,
7150,XX,"DSM 760",0,"Methylobacterium organophilum",2756170276,AB175637,66
,,,,,410.10,AB175638,66.0
,,,,,GCA_022179465,AB175639,66.8
,,,,,,D32226,
,,,,,,M29028,
7181,CBMB20,"DSM 18207, KACC 11585, LMG 23582, JCM 16405",1,"Methylobacterium oryzae",2627854079,AY683045,70.6
,,,,,693986.4,,
,,,,,GCA_000757795,,
166276,TER-1,"BCRC 81157, LMG 30931, KCTC 62864",1,"Methylobacterium oryzihabitans",GCA_004004555,MF980971,71.9
23092,35a,"DSM 24028, NBRC 107715",1,"Methylobacterium oxalidis",944322.3,AB607860,70.2
,,,,,GCA_007992195,,
,,,,,GCA_022179505,,
7191,002-165,"DSM 19562, NBRC 103628, NCIMB 14378",1,"Methylobacterium persicinum",2928273650,AB252202,67.1
,,,,,GCA_022179525,,
7192,"CBMB27, EF 126746","DSM 19779, KACC 11716, LMG 24361, JCM 16408",1,"Methylobacterium phyllosphaerae",1295137.3,EF126746,66.8
,,,,,2651870129,,
,,,,,2721755615,,
,,,,,2728369718,,
,,,,,GCA_001312285,,
,,,,,GCA_001936175,,
,,,,,GCA_900113465,,
166308,,"CGMCC 1.17323, NBRC 114056, YIM 132548",1,"Methylobacterium planeticum",2615211.3,MN317338,70.2
,,,,,2902355876,,
,,,,,GCA_008806345,,
134290,PMB02,"KCTC 12901, JCM 14648",1,"Methylobacterium platani",1295136.3,EF426729,68.5
,,,,,1295136.4,,
,,,,,2651869728,,
,,,,,2728369717,,
,,,,,2855953901,,
,,,,,GCA_001043885,,
,,,,,GCA_001312265,,
,,,,,GCA_001653715,,
164450,17J42-1,"JCM 33059, KCTC 62267",1,"Methylobacterium segetis",2488750.6,LC433921,70.2
,,,,,GCA_004348265,,
7201,,"DSM 21955, CCTCC AA 208027, KCTC 22810, YIM 48816",1,"Methylobacterium soli",553447.3,EU860984,66.2
,,,,,GCA_008806385,,
,,,,,GCA_022179555,,
7187,,"DSM 19566, NBRC 103632, NCIMB 14380, RB 677",1,"Methylobacterium tardum",GCA_022179585,AB252208,69.5
,,,,,GCA_023546765,,
24173,N4211,"DSM 25844, KCTC 23615",1,"Methylobacterium tarhaniae",1187852.3,JQ864432,67.3
,,,,,2636415909,,
,,,,,GCA_001043955,,
7178,GR3,"DSM 16961, CCM 7281, CECT 7045",1,"Methylobacterium variabile",2636415936,AB302931,69.2
,,,,,298794.3,AJ851087,
,,,,,GCA_001043975,,
140090,PK2,"DSM 29599, JCM 30229, VKM B-2849, CCUG 65431",1,"Methylobrevis pamukkalensis",2786546839,KF683074,67.9
,,,,,GCA_001720135,,
131296,"25MAT1882, S8","DSM 27392, NBRC 109686",1,"Methylocaldum marinum",2832923104,AB894129,59.7
,,,,,GCA_003584645,,
1656,B2,"DSM 13967, NCIMB 13765",1,"Methylocapsa acidiphila",2510065046,AJ278726,63.1
,,,,,395964.6,,
,,,,,GCA_000427445,,
1657,KYG,"DSM 22158, VKM B-2544",1,"Methylocapsa aurea",GCA_000746085,FN433469,61.4
140108,NE2,"DSM 29914, LMG 28715, VKM B-2945",1,"Methylocapsa palsarum",2675903028,KP715289,61.7
,,,,,GCA_900114285,,
24750,Gela4,"DSM 27242, NBRC 109540",1,"Methyloceanibacter caenitepidi",1384459.3,AB794104,63.9
,,,,,2630968843,,
,,,,,GCA_000828475,,
1658,BL2,"DSM 15510, NCIMB 13906, CIP 108128",1,"Methylocella silvestris",395965.5,AJ491847,60
,,,,,643348565,,60.0
,,,,,GCA_000021745,,
164695,,"JCM 33941, KCTC 72677",1,"Methylococcus geothermalis",GCA_012769535,MN726710,63.3
164401,,"JCM 32869, KCTC 15683, MCC 3492",1,"Methylocucumis oryzae",GCA_000963695,KP793700,43.9
7216,H2,"DSM 16984, VKM B-2426",1,"Methylocystis heyeri",GCA_004802635,AM283543,61.5
7217,SV97,"DSM 17261, ATCC BAA-1196",1,"Methylocystis rosea",1132444.3,AJ414656,62
,,,,,GCA_000372845,,
7214,E10,"DSM 23452, JCM 16910",1,"Methylogaea oryzae",1295382.3,EU672870,63.1
,,,,,2675903437,EU672871,
,,,,,493385.5,EU672872,
,,,,,GCA_001312345,EU672873,
,,,,,GCA_019669985,,
131381,"KoM1, red","DSM 22980, JCM 18850",1,"Methyloglobulus morosus",2528768019,JN386974,47.7
,,,,,GCA_000496735,,
7205,10Ki,"DSM 16011, ATCC BAA-967",1,"Methylohalobius crimeensis",1283300.3,AJ581837,58.7
,,,,,2524614657,,
,,,,,GCA_000421465,,
164650,,"JCM 33786, KCTC 72733, MCC 4198, FWC 3",0,"Methylolobus aquaticus",GCA_004168015,MH789551,63
,,,,,,MN080433,
,,,,,,MN080433.1,
132266,RS11D-Pr,"DSM 29768, JCM 18894, KCTC 4681, NBRC 109438",1,"Methylomagnum ishizawai",1760988.4,AB669155,64.1
,,,,,GCA_019670005,,
24177,IT-4,"DSM 18976, JCM 13665",1,"Methylomarinum vadi",2574179779,AB301717,50.9-51.0
,,,,,GCA_000733935,,51
,,,,,,,51.3
133754,Fw12E-Y,"JCM 16701, NBRC 105905, NCIMB 14606",1,"Methylomonas koyamae",1294261.13,AB538964,57.1
,,,,,2728369704,,
,,,,,702114.23,,
,,,,,GCA_001312005,,
,,,,,GCA_019669905,,
164703,GJ1,"JCM 33990, ACCC 61706",1,"Methylomonas rhizoryzae",GCA_008632455,MK640711,53.67
158647,MMFC1,"JCM 31821, KCTC 15592",1,"Methylomusa anaerophila",2837211827,LC203074,46.6
,,,,,GCA_003966895,,
134269,MP,"VKM B-24415, JCM 14647, KCTC 12909, VKM B-2441",1,"Methylophaga aminisulfidivorans",1026882.3,DQ463161,43.5
,,,,,651324072,,44.9
,,,,,GCA_000214595,,
11908,MPL,"DSM 24656, MCC 1002, VKM B-2684",1,"Methylophaga lonarensis",1286106.3,JF330773,50
,,,,,2527291626,,50.0
,,,,,GCA_000349205,,
133517,CBMB127,"KACC 13099, NCCB 100233",1,"Methylophilus rhizosphaerae",2654588194,EU194887,47.9
,,,,,GCA_900100975,,
7224,JZL-4,"DSM 22718, ACCC 05406, VKM B-2555",1,"Methylopila jiangsuensis",2861355207,FJ502233,70.4
140082,"WF1, whale fall 1","DSM 29215, ATCC BAA-2619",1,"Methyloprofundus sedimenti",2785510765,KF484906,40.5
,,,,,GCA_002072955,,
7171,TH-15,"DSM 8832, ATCC 51358, JCM 8240, CCM 4612, CIP 105328, IFO 15686, LMG 21752, NBRC 15686, NCIMB 13343, VKM B-2145",1,"Methylorubrum aminovorans",GCA_022179725,AB175629,67.3
,,,,,,AJ851086,68
7142,"TK 0001","DSM 1337, ATCC 43645, NCIMB 9399, IAM 12631, JCM 2802, BCRC 12234, CCUG 2084, IFO 15687, IMET 11113, NBRC 15687, VKM B-2064",1,"Methylorubrum extorquens",408.23,AB175632,65.6
,,,,,,AB175633,
,,,,,,AJ400915,
,,,,,,D32224,
,,,,,,L20847,
133659,BJ001,"ATCC BAA-705, NCIM B13946",1,"Methylorubrum populi",642555139,AY251818,70.4
,,,,,GCA_000019945,,
7153,,"DSM 2163, ATCC 14821, NCIB 9421, JCM 2811, CCM 4463, CCUG 36917, CCUG 51501, CIP 101127, IFO 15691, LMG 2275, NBRC 15691, NCIMB 9421, VKM B-2065, CCUG 2875",1,"Pseudomonas rhodina",1236969.4,AB175644,65.8
,,,,,2728369659,AF338179,
,,,,,2829745981,D32229,
,,,,,29428.5,,
,,,,,GCA_001310855,,
,,,,,GCA_014199935,,
7173,F20,"DSM 14458, NCIMB 13778, VKM B-2238, CCUG 55907",1,"Methylorubrum suomiense",GCA_022179765,AB175645,65.8
,,,,,,AY009404,
7170,135,"DSM 5688, ATCC 43883, NCIMB 12243, CCUG 36916, CIP 103774, LMG 6087, IFO 15845, VKM B-2161, JCM 10892, CCM 4464, NBRC 15845",1,"Methylorubrum zatmanii",29429.5,AB175647,70.3
,,,,,GCA_014845115,L20804,
7210,AML-C10,"DSM 13736, ATCC 700909",1,"Methylosarcina fibrata",1132443.3,AF177296,54
,,,,,2517487019,,
,,,,,GCA_000372865,,
134110,LW14,"ATCC BAA-1047, JCM 13284",1,"Methylomicrobium lacus",GCA_000527095,AY007296,52.9-53.7
,,,,,,,53.3
,,,,,,,54.67
164353,,"JCM 32771",0,"Methylosinus sp.",GCA_009811655,LC380990,65
23100,301,"DSM 24635, JCM 17579, VKM B-2679",1,"Methylotenera versatilis",646564551,NR_074693,42.6
,,,,,666681.3,,
,,,,,GCA_000093025,,
7206,20Z,"DSM 19304, NCIMB 14124, VKM B-2133",1,"Methylotuvimicrobium alcaliphilum",GCA_000968535,EF495157,47.9
163816,,"JCM 30542, VKM B-2888",1,"Methyloversatilis discipulorum",GCA_000527135,NR_136516,66.6
,,,,,,NR_136517,
13935,FAM5,"DSM 25237, CCUG 52030, JCM 13912",1,"Methyloversatilis universalis",1000565.3,DQ442273,65-66
,,,,,651324073,,65.5
,,,,,GCA_000214035,,
13933,"500, FAM500","DSM 25235",0,"Methyloversatilis universalis",2515154210,DQ923115,63.9
,,,,,983952.3,,
,,,,,GCA_000478565,,
13934,EHg5,"DSM 25236",0,"Methyloversatilis universalis",2515154213,AY436796,63.5
,,,,,999628.3,,
,,,,,GCA_000378945,,
1673,BW863,"DSM 19998, NCIMB 14408",1,"Methylovirgula ligni",2770939601,FM252034,61.8-62.8
,,,,,569860.6,,
,,,,,GCA_003387225,,
,,,,,GCA_004135935,,
7213,HT12,"DSM 23269, ATCC BAA-2070, NBRC 106162",1,"Methylovulum miyakonense",1078846.3,AB501287,49.3
,,,,,2516653058,,
,,,,,GCA_000384075,,
140162,,"DSM 100602, LMG 29227, VKM B-3018, Sph 1",1,"Methylovulum psychrotolerans",1704499.7,KT381578,51.4-51.9
,,,,,,,51.6
1557,,"DSM 22679, JCM 16213, Nad S1",1,"Microaerobacter geothermalis",GCA_021608135,FN552009,41.8
130542,ADRI,"DSM 27471, JCM 19374",1,"Microbacter margulisiae",1350067.3,LM643867,39.9
,,,,,2824490045,,
,,,,,GCA_014192515,,
7412,V-73,"DSM 14217, CCM 4955, NRRL B-24228, JCM 12137, CIP 107636, IAM 15195, LMG 22184, NBRC 103071",1,"Microbacterium aerolatum",153731.4,AJ309929,69.5
,,,,,153731.5,,
,,,,,GCA_007988825,,
,,,,,GCA_014635005,,
7449,"CC-SBCK 209","DSM 21798, CCM 7686, CIP 110690, CCUG 58051, JCM 18705",1,"Microbacterium agarici",2627853600,FJ807673,64.5
,,,,,630514.3,,
,,,,,GCA_002563955,,
158383,,"DSM 104474, CGMCC 1.15794, KCTC 39990, SYSU D8007",1,"Microbacterium album",2053191.3,MF399039,72.2
,,,,,GCA_014643695,,
7464,N5,"DSM 24221, CCM 7881, CIP 110689, JCM 30491",1,"Microbacterium amylolyticum",2918397618,HQ605925,68
,,,,,936337.3,,68.0
,,,,,936337.4,,
,,,,,GCA_011046975,,
,,,,,GCA_017876695,,
7431,KV-492,"DSM 19461, NBRC 101280, NRRL B-24451, JCM 14900, CIP 109366, NCIMB 14561",1,"Microbacterium aoyamense",GCA_023155855,AB234028,69
7439,JS54-2,"DSM 19713, CIP 110688, KCTC 19124, JCM 15625",1,"Microbacterium aquimaris",459816.3,AM778449,69.3
,,,,,GCA_015278225,,
7370,,"DSM 20754, ATCC 4358, IFO 3750, NBRC 3750, NRRL B-24239, JCM 5884, CGMCC 1.1937, CIP 55.81, HAMBI 1892, IAM 1311, KCTC 3522, LMG 4009, NCDO 2276, NCIMB 8185, VKM Ac-1944",1,"Microbacterium arborescens",2877034298,AB007421,71
,,,,,33883.6,D21339,71.0
,,,,,GCA_003339645,MN526991,
,,,,,,X77443,
7395,H-5,"DSM 8600, ATCC 51345, IFO 15204, NBRC 15204, NRRL B-24210, CCUG 43279, CCM 4522, CIP 103994, JCM 9179, IAM 15207, KACC 15219, VKM Ac-1950, VKM Ac-2076",1,"Microbacterium aurum",2773857884,AB007418,69
,,,,,2893677331,D21340,69.2
,,,,,36805.16,Y17229,
,,,,,36805.5,,
,,,,,GCA_001974985,,
,,,,,GCA_016907815,,
7452,AI-S262,"DSM 23848, JCM 15681, KCTC 19668, LMG 24772",1,"Microbacterium azadirachtae",2773857981,EU912487,69.5
,,,,,582680.7,,
,,,,,GCA_000956545,,
7363,7,"DSM 20145, ATCC 15954, CCM 1928, NCIB 9658, NRRL B-24231, CCUG 33090, LMG 16341, CIP 102692, IAM 12585, IFO 15036, JCM 1343, BCRC 11642, CGMCC 1.1902, HAMBI 1894, IMET 10688, IMSNU 10306, KCTC 3197, NBRC 15036, NCFB 2287, NCIMB 9658, VKM Ac-1020, VTT E-072706, NCDO 2287",1,"Microbacterium barkeri",2919382452,X77446,68.7
,,,,,,,74.4
164317,NEAU-LLE,"JCM 32662, CCTCC AA 2018025",1,"Microbacterium bovistercoris",GCA_003387575,MK110479,69.3
7396,M-73,"CCUG 38517, DSM 8607, ATCC 51344, IFO 14592, NBRC 14592, JCM 9180, CCM 4523, CIP 103993, IAM 15202, NCIMB 13387, NRRL B-23242, VKM Ac-1940, VKM Ac-2077",1,"Microbacterium dextranolyticum",2893534022,AB007417,68
,,,,,36806.4,D21341,68.3
,,,,,GCA_016907295,Y17230,
131353,NIO-1002,"DSM 25125, CCTCC AB 2011120, NCIM 5454, CIP 110922",1,"Microbacterium enclense",2802429339,JF421612,66.5
,,,,,993073.4,,
,,,,,GCA_001456955,,
,,,,,GCA_900096885,,
7399,,"DSM 8609, ATCC 8091, CCM 4371, IFO 3751, NBRC 3751, NRRL B-24213, JCM 9172, BCRC 15447, BUCSAV 326, CIP 103916, IAM 15198, LMG 4020, NCFB 2277, NCIMB 8186, VKM Ac-1942, VTT E-991287, NCDO 2277",1,"Microbacterium esteraromaticum",2893536966,Y17231,68.8
,,,,,57043.11,,69
,,,,,GCA_016907315,,
132660,,"DSM 27232, CGMCC 1.15152, KCTC 39554, YIM 101168",1,"Microbacterium faecale",1804630.3,KT756666,69.7
,,,,,GCA_014640975,,
7364,401,"CCUG 29000, DSM 20643, ATCC 13348, NCIB 9221, JCM 3877, BCRC 12361, CCTM 2716, CIP 102401, HAMBI 1871, HAMBI 1909, IAM 15203, IFO 15039, IMET 10367, JCM 11568, KCTC 3389, KCTC 3437, LMG 3028, NBIMCC 2370, NBRC 15039, NCIMB 9221, NRRL B-24238, VKM Ac-1415",1,"Microbacterium flavescens",69366.3,AB004716,66.9
,,,,,GCA_018588945,Y17232,70.3
7438,YM18-098,"DSM 18909, JCM 15574, MBIC 08278, NBRC 103923",1,"Microbacterium flavum",415216.5,AB286029,70
,,,,,GCA_018717645,,
