"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","PH range",pH,"Salt conc."
,,,,,2902355876,,,
,,,,,GCA_008806345,,,
164450,17J42-1,"JCM 33059, KCTC 62267",1,"Methylobacterium segetis",2488750.6,alkaliphile,5-9,1
,,,,,GCA_004348265,,,2
164703,GJ1,"JCM 33990, ACCC 61706",1,"Methylomonas rhizoryzae",GCA_008632455,alkaliphile,5.5-8.5,0-1
,,,,,,,,0-1.2
11908,MPL,"DSM 24656, MCC 1002, VKM B-2684",1,"Methylophaga lonarensis",1286106.3,alkaliphile,07-10,0.05-10
,,,,,2527291626,,,1.50
,,,,,GCA_000349205,,,
133517,CBMB127,"KACC 13099, NCCB 100233",1,"Methylophilus rhizosphaerae",2654588194,alkaliphile,04-10,<2
,,,,,GCA_900100975,,,
7206,20Z,"DSM 19304, NCIMB 14124, VKM B-2133",1,"Methylotuvimicrobium alcaliphilum",GCA_000968535,alkaliphile,7.2-9.5,<8.7
1673,BW863,"DSM 19998, NCIMB 14408",1,"Methylovirgula ligni",2770939601,acidophile,3.1-6.5,>0.7
,,,,,569860.6,,,
,,,,,GCA_003387225,,,
,,,,,GCA_004135935,,,
140162,,"DSM 100602, LMG 29227, VKM B-3018, Sph 1",1,"Methylovulum psychrotolerans",1704499.7,alkaliphile,4.0-8.9,0
158383,,"DSM 104474, CGMCC 1.15794, KCTC 39990, SYSU D8007",1,"Microbacterium album",2053191.3,alkaliphile,6-10,0-8
,,,,,GCA_014643695,,,
7439,JS54-2,"DSM 19713, CIP 110688, KCTC 19124, JCM 15625",1,"Microbacterium aquimaris",459816.3,alkaliphile,06-10,10
,,,,,GCA_015278225,,,
7452,AI-S262,"DSM 23848, JCM 15681, KCTC 19668, LMG 24772",1,"Microbacterium azadirachtae",2773857981,alkaliphile,05-10,0-1
,,,,,582680.7,,,0-5.5
,,,,,GCA_000956545,,,
164317,NEAU-LLE,"JCM 32662, CCTCC AA 2018025",1,"Microbacterium bovistercoris",GCA_003387575,alkaliphile,6.0-11.0,9
132660,,"DSM 27232, CGMCC 1.15152, KCTC 39554, YIM 101168",1,"Microbacterium faecale",1804630.3,alkaliphile,6.0-10.0,0-13
,,,,,GCA_014640975,,,0-13.0
7429,,"DSM 18659, KCTC 19189, Gsoil 259, JCM 15304",1,"Microbacterium ginsengisoli",2671180799,alkaliphile,05-09,<4
,,,,,400772.4,,,
,,,,,GCA_000956535,,,
7455,,"DSM 24823, JCM 15516, KCTC 19526, DCY 37, NBRC 110802",1,"Microbacterium ginsengiterrae",2870791180,alkaliphile,05-09,01-08
,,,,,546115.4,,,
,,,,,546115.5,,,
,,,,,GCA_014205075,,,
,,,,,GCA_015278215,,,
7423,,"DSM 15855, CIP 108071, KCTC 19017, YIM 70130, JCM 13013, NRRL B-24569",1,"Microbacterium halotolerans",246613.3,alkaliphile,05-13,0-10
,,,,,2861987423,,,0-15
,,,,,GCA_003569805,,,5
7432,FCC-01,"DSM 19179, JCM 14558",1,"Microbacterium hatanonis",404366.3,alkaliphile,06-09,0-2
,,,,,GCA_008017415,,,
7434,BBH6,"DSM 19969, CIP 109607, IAM 15355, JCM 21800, LMG 23459",1,"Microbacterium indicum",1122238.3,alkaliphile,05-09,<6
,,,,,2523533558,,,
,,,,,GCA_000422385,,,
7446,DC-200,"DSM 19600, CIP 110032, LMG 24557, JCM 17023",1,"Microbacterium invictum",2831315640,alkaliphile,6.0-9.5,5
,,,,,515415.3,,,
,,,,,515415.4,,,
,,,,,GCA_015278285,,,
,,,,,GCA_023155715,,,
7453,MNA2,"DSM 22422, CCM 7585, JCM 30493",1,"Microbacterium lindanitolerans",2811994985,alkaliphile,06-11,0-2
,,,,,550448.3,,,10
,,,,,GCA_006788875,,,
7433,SC-087B,"DSM 19459, CCUG 54537, JCM 15576",1,"Microbacterium luticocti",1122239.3,alkaliphile,5.5-9.7,0-10
,,,,,2585427556,,,2
,,,,,GCA_000422405,,,
7436,YM11-607,"DSM 18904, CIP 109810, JCM 16546, MBIC 07778, NBRC 104188",1,"Microbacterium marinilacus",GCA_019753765,alkaliphile,06-11,4
,,,,,,,,<8
7456,M4-8,"DSM 24780, JCM 16363, KACC 21129, NBRC 109971",0,"Microbacterium mitrae",GCA_008017445,alkaliphile,6.0-9.0,0-8
,,,,,,,,1
,,,,,,,,5
23103,MB10,"DSM 23396, CIP 110793, JCM 16837",1,"Microbacterium oryzae",2916297235,alkaliphile,5.0-11.0,0-6
7444,Shh49,"DSM 22239, CGMCC 1.6777, CIP 109927, JCM 14840",1,"Microbacterium profundi",2617271234,alkaliphile,6-9.5,0-1
,,,,,450380.4,,,0-7.5
,,,,,GCA_000763375,,,
7454,,"DSM 25564, CCTCC M208212, NRRL B-24799, GIMN 1.002",1,"Microbacterium radiodurans",661398.3,alkaliphile,06-10,0-7
,,,,,GCA_008710705,,,
24188,K-1,"DSM 28107, NBRC 108778, NCIMB 14782",1,"Microbacterium saccharophilum",1213358.6,alkaliphile,6.0-11.0,0-1
,,,,,2903861677,,,
,,,,,2903864575,,,
,,,,,GCA_007992455,,,
,,,,,GCA_008017435,,,
,,,,,GCA_023155775,,,
7467,YLB-01,"DSM 23767, CCTCC AB 2010363, JCM 19554, MCCC 1A06153",1,"Microbacterium sediminis",2765235862,alkaliphile,5.0-10.0,0-8
,,,,,2847293147,,,
,,,,,2877021139,,,
,,,,,904291.4,,,
,,,,,GCA_001689915,,,
,,,,,GCA_002741995,,,
,,,,,GCA_004564075,,,
133022,SZDIS-1-1,"DSM 103422, CGMCC 1.15228",1,"Microbacterium sorbitolivorans",1867410.4,alkaliphile,6.0-9.0,0
,,,,,GCA_003327285,,,0-11.0
,,,,,GCA_014641475,,,
166435,,"CGMCC 1.16261, KCTC 49101, YZYP 306",1,"Microbacterium suaedae",GCA_003254645,alkaliphile,6-12,0
,,,,,,,,0-15
166360,Gxj-6,"CGMCC 4.7605, DSM 109712",1,"Microbispora cellulosiformans",2894484731,alkaliphile,5.0-9.0,0.0-4.0
,,,,,GCA_008728085,,,
159804,NEAU-HRDPA2-9,"CGMCC 4.7399, DSM 104649, JCM 33405",1,"Microbispora triticiradicis",2856741275,alkaliphile,5-10,0-1
,,,,,GCA_003260025,,,0-3.5
140780,CCB-MM1,"LMG 29920, JCM 31875",1,"Microbulbifer aggregans",2751185758,alkaliphile,6-9,0.5-8
,,,,,GCA_001750105,,,2-3
134326,,"CCTCC AB 206094, KCTC 12848, YIM 91118",1,"Microbulbifer halophilus",GCA_026183675,alkaliphile,06-09,01-20
,,,,,,,,10
465,IRE-31,"DSM 11525, ATCC 700072, IRE 31, CIP 105235",1,"Microbulbifer hydrolyticus",2861623431,alkaliphile,6.5-8.5,0
,,,,,48074.4,,,0.1-0.5
,,,,,GCA_014202835,,,0.1-1
,,,,,,,,10
,,,,,,,,2-6
,,,,,,,,8
133655,Y215,"CGMCC 1.10657, JCM 17211",1,"Microbulbifer marinus",2667527380,alkaliphile,4.5-10,0-7
,,,,,658218.4,,,2-3
,,,,,GCA_900107725,,,
140862,Cs16b,"CECT 8799, DSM 28920",1,"Microbulbifer rhizosphaerae",1562603.3,alkaliphile,6-10,0
,,,,,2824280218,,,1-2
,,,,,GCA_014191725,,,1-6
,,,,,,,,10
466,,"DSM 19189, JCM 14709, JAMB A94",1,"Microbulbifer thermotolerans",252514.11,alkaliphile,5.5-9,1.5
,,,,,2599185213,,,<7
,,,,,GCA_900112305,,,
133474,Ni-2088,"MBIC 01082, ATCC 700307",1,"Microbulbifer variabilis",1279017.3,alkaliphile,6.0-9.0,0.5-7
,,,,,2519899636,,,2
,,,,,GCA_000380565,,,
133656,Y226,"CGMCC 1.10658, JCM 17212",1,"Microbulbifer yueqingensis",2667528184,alkaliphile,05-10,0-10
,,,,,658219.4,,,2-3
,,,,,GCA_900100355,,,
7506,CW1,"DSM 23889, JCM 14730, KCTC 13142",1,"Microcella frigidaquae",2845007952,alkaliphile,06-11,0-3
,,,,,424758.4,,,10
,,,,,424758.5,,,
,,,,,GCA_009664385,,,
,,,,,GCA_014200395,,,
7761,"WS 4601","DSM 23974, LMG 26183",1,"Micrococcus cohnii",2870868549,alkaliphile,07-09,0-10
,,,,,993416.3,,,5
,,,,,GCA_014205175,,,
7759,,"DSM 17945, KCTC 19156, YIM 56238, JCM 16951",1,"Micrococcus endophyticus",2870801768,alkaliphile,06-09,0-10
,,,,,455343.4,,,5
,,,,,GCA_014205115,,,
24203,V3M1,"DSM 28110, CGMCC 1.7054, NBRC 104258, JCM 17489",1,"Micrococcus terreus",2617270780,alkaliphile,05-09,0-2
,,,,,574650.4,,,1
,,,,,GCA_900116905,,,
132342,S3Af-1,"DSM 100019, CGMCC 4.7306, JCM 31774",1,"Microlunatus endophyticus",1716077.3,alkaliphile,5.0-9.0,0
,,,,,GCA_014646195,,,0-2
,,,,,,,,3
24346,W6,"DSM 27985, CGMCC 4.6856, JCM 17701, KACC 17380",1,"Microlunatus flavus",1036181.4,alkaliphile,05-09,0-1
,,,,,2675903052,,,
,,,,,GCA_900110855,,,
132580,4Q3S-3,"DSM 100723, CGMCC 4.7307",1,"Microlunatus kandeliicorticis",1759536.3,alkaliphile,5.0-9.0,0
,,,,,2820958510,,,0-5.0
,,,,,GCA_014137855,,,
12627,,"DSM 18662, KCTC 13058, Gsoil 954, JCM 16016",1,"Microlunatus panaciterrae",2893589407,alkaliphile,05-09,0-5
,,,,,400768.3,,,
,,,,,GCA_016907535,,,
12619,"FB2, S20_27","DSM 21743, NBRC 104965, KY 13154",1,"Microlunatus sagamiharensis",2634166345,alkaliphile,05-09,0-6
,,,,,546874.3,,,
,,,,,GCA_900105785,,,
160441,,"DSM 103947, KCTC 39847, SYSU K12189",1,"Microlunatus speluncae",2594267.3,alkaliphile,6-10,0-5
,,,,,GCA_009299835,,,
166243,5R2A7,"LMG 30755, CECT 9656",1,"Micromonospora acroterricola",GCA_003172955,alkaliphile,6.0-9.0,0.0-1.0
24216,SP03-05,"DSM 46721, BCC 45620, NBRC 109075",1,"Micromonospora andamanensis",1287068.3,alkaliphile,06-12,0-4
,,,,,GCA_016863495,,,3
8012,MC5-1,"DSM 45246, JCM 12873, KCTC 19332, PCU 267, TISTR 1564, CGMCC 4.5707, NBRC 106529, NRRL B-24766",1,"Micromonospora chaiyaphumensis",2622736432,alkaliphile,04-09,<3
,,,,,307119.5,,,
,,,,,GCA_900091435,,,
158459,LHW63014,"DSM 106193, CCTCC AA 2018012",1,"Micromonospora craniellae",2294034.4,alkaliphile,6-9,0
,,,,,2866394982,,,4
,,,,,GCA_003419945,,,
,,,,,GCA_014764405,,,
166130,NA12,"DSM 100982, KCTC 39647",1,"Micromonospora craterilacus",2866071484,alkaliphile,6-12,0-3
,,,,,GCA_003236315,,,
8052,202201,"DSM 45430, BCC 72028, CGMCC 4.5597, NBRC 109090, JCM 18317",1,"Micromonospora endophytica",2832004796,alkaliphile,04-11,0-5
,,,,,2866065130,,,1
,,,,,515350.10,,,<3
,,,,,515350.6,,,
,,,,,515350.9,,,
,,,,,GCA_003236305,,,
,,,,,GCA_003581605,,,
,,,,,GCA_018326245,,,
158643,WPS1-2,"KCTC 39787, NBRC 112325, TISTR 2405, JCM 32902, DSM 117320",1,"Micromonospora globbae",2867302475,alkaliphile,5-9,3
,,,,,GCA_003610785,,,
7974,MK-41,"DSM 43819, ATCC 21773, JCM 6239, NRRL B-16095, CECT 3294, IMSNU 22025, MTCC 330, NBRC 101909, NCIMB 12751",1,"Micromonospora inositola",2623620396,acidophile,3.5,2.5
,,,,,47865.5,,,
,,,,,GCA_900090285,,,
8016,JSM1-1,"DSM 45555, JCM 12870, PCU 269, TISTR 1566",1,"Micromonospora marina",2622736534,alkaliphile,05-09,7
,,,,,307120.5,,,
,,,,,GCA_900091565,,,
132607,,"DSM 101694, CECT 9020, GUI 43",1,"Micromonospora noduli",709876.6,alkaliphile,7-9,3
7977,"MK-70 (FERM-P 1560)","DSM 43868, ATCC 21819, FERM P-1560, IFO 14304, IMET 8310, JCM 7348, NBRC 14304, CECT 3296, HUT 6590, IMSNU 20086, KACC 20103, KCTC 1052, NCIMB 12659, NRRL 8178, VKM Ac-1317",1,"Micromonospora olivasterospora",1880.4,acidophile,3.5,0
,,,,,2582581330,,,
,,,,,2585427559,,,
,,,,,GCA_007830265,,,
159632,S2509,"DSM 45926, KCTC 29201",1,"Micromonospora orduensis",1420891.3,alkaliphile,5.0-11.0,0.0-3.0
,,,,,2902588607,,,
,,,,,GCA_006228125,,,
133064,NEAU-JXY5,"DSM 103125, CGMCC 4.7347, JCM 32493",1,"Micromonospora parathelypteridis",1839617.3,alkaliphile,5.0-9.0,0-3
,,,,,1839617.4,,,
,,,,,2856470492,,,
,,,,,GCA_014201145,,,
,,,,,GCA_014646315,,,
23126,NEAU-J5,"DSM 45730, CGMCC 4.7038, KCTC 39763, NBRC 110907, JCM 19683",1,"Micromonospora phaseoli",1144548.3,alkaliphile,05-11,0-2.5
,,,,,1144548.5,,,0-3
,,,,,1144548.8,,,
,,,,,2675903138,,,
,,,,,2728369481,,,
,,,,,GCA_003253475,,,
,,,,,GCA_016863675,,,
,,,,,GCA_900109115,,,
158771,,"CECT 9369, DSM 105363, SG 15",1,"Micromonospora phytophila",GCA_023656545,alkaliphile,7-9,1
8015,,"DSM 45175, LMG 24546, GUI 15, JCM 17025",1,"Micromonospora pisi",2758568729,alkaliphile,07-09,7.5
,,,,,589240.3,,,
,,,,,GCA_003633685,,,
132666,DS3010,"DSM 45981, KCTC 29243",1,"Micromonospora profundi",1420889.3,alkaliphile,6.0-11.0,3
,,,,,2830928545,,,
,,,,,GCA_011927785,,,
7976,,"DSM 43821, ATCC 27007, CBS 326.71, IFO 13324, IMET 8213, IMRU 3343, JCM 3156, NBRC 13324, NRRL B-16094, CECT 3297, IFM 1279, KCTC 9369, MTCC 331, NCIMB 12661, NRRL B-2101, VKM Ac-937",1,"Micromonospora purpureochromogenes",2627854289,acidophile,3.5,0
,,,,,47872.5,,,
,,,,,GCA_900091515,,,
164205,AZ1-13,"JCM 32147, KCTC 39786, NBRC 112324, TISTR 2404",1,"Micromonospora radicis",GCA_003583405,alkaliphile,6-10,4
8017,211018,"DSM 45431, CGMCC 4.5599, NBRC 110451, JCM 17737",1,"Micromonospora rhizosphaerae",2622736626,alkaliphile,05-09,0-2
,,,,,568872.4,,,2.5
,,,,,GCA_900091465,,,
23118,SH2-13,"DSM 45794, BCC 45601, NBRC 107934",1,"Micromonospora sediminicola",2622736535,alkaliphile,06-12,0-2.5
,,,,,946078.4,,,0-4
,,,,,GCA_900089585,,,3
8031,"MS 426","DSM 45558, CGMCC 4.3550, JCM 15670, NBRC 107745",1,"Micromonospora sediminimaris",2663762750,alkaliphile,3.5-10,0-6
,,,,,547162.3,,,3.5
,,,,,547162.4,,,5
,,,,,GCA_016863575,,,
,,,,,GCA_900112325,,,
132026,,"DSM 101760, NRRL B-65345, TMS 7",1,"Micromonospora terminaliae",1914461.3,alkaliphile,6.0-10.0,1
,,,,,2888122254,,,10
,,,,,GCA_009671205,,,15
,,,,,,,,20
,,,,,,,,3
,,,,,,,,5
8008,TVU1,"DSM 45142, JCM 18297, NRRL B-24576",1,"Micromonospora tulbaghiae",2622736612,alkaliphile,07-09,5
,,,,,479978.4,,,
,,,,,GCA_900091605,,,
132608,,"DSM 101695, CECT 9019, GUI 63",1,"Micromonospora vinacea",2880495981,alkaliphile,7-9,3
,,,,,709878.3,,,
,,,,,GCA_015751785,,,
23120,2602GPT1-05,"DSM 45709, CCTCC AA 2012002, JCM 31038",1,"Micromonospora wenchangensis",1185415.3,alkaliphile,5.0-9.0,0-2.5
,,,,,2788500614,,,0-3
,,,,,GCA_002210435,,,
8019,FXJ6.011,"DSM 45577, CGMCC 4.5736, NBRC 107727, JCM 18319",1,"Micromonospora yangpuensis",2623620524,alkaliphile,06-11,3
,,,,,683228.4,,,
,,,,,683228.9,,,
,,,,,GCA_014645775,,,
,,,,,GCA_900091615,,,
8022,"CR 38","DSM 45600, CECT 7892, JCM 31702",1,"Micromonospora zamorensis",2617270899,alkaliphile,6.5-9,3
,,,,,709883.12,,,
,,,,,GCA_900090275,,,
7500,SSWW-21,"DSM 18319, JCM 30550, KCTC 19185, SSWW 21",1,"Microterricola gilva",2806310509,alkaliphile,6.1-10.1,0-2
,,,,,393267.3,,,<2
,,,,,GCA_004217495,,,
7203,5420S-16,"DSM 21343, KACC 12744, NBRC 106137",1,"Microvirga aerilata",GCA_016743775,alkaliphile,07-10,0-3
7204,5420S-12,"DSM 21344, KACC 12743, NBRC 106136",1,"Microvirga aerophila",2894369371,alkaliphile,07-10,0-2
,,,,,670291.3,,,
,,,,,670291.4,,,
,,,,,GCA_003332305,,,
,,,,,GCA_007991675,,,
133490,25B,"CGMCC 1.7666, JCM 15710",1,"Microvirga guangxiensis",2596583582,alkaliphile,5.0-9.5,0-2
,,,,,549386.3,,,
,,,,,GCA_900102135,,,
133752,Lut6,"LMG 26460, HAMBI 3236",1,"Microvirga lupini",2508501050,alkaliphile,5.5-9.5,0-1.5
,,,,,GCA_000517005,,,0.25
133322,R491,"KEMB 9005-408, KACC 18969, NBRC 112417",1,"Microvirga soli",GCA_016734765,alkaliphile,6.0-10.5,0
,,,,,,,,2
133608,YM18-15,"NBRC 106267, KCTC 19750, MBIC 08348, DSM 109839",1,"Miniimonas arenae",2889606800,alkaliphile,05-11,0-5
,,,,,676201.3,,,
,,,,,GCA_006351005,,,
159812,SY3-15,"MCCC 1K03467, KCTC 62335",1,"Minwuia thermotolerans",GCA_002924445,alkaliphile,6-8.5,0.5-6.0
,,,,,,,,1.5-2.0
166379,HWN-4,"LMG 28685, KTCC 42483",1,"Roseateles chitinivorans",GCA_002761755,alkaliphile,6.5-8.5,2
158764,HZ7,"JCM 31671, CCTCC AB 2014353",1,"Roseateles noduli",2831864461,alkaliphile,5-9,0-1
,,,,,GCA_001653795,,,
,,,,,GCA_002205125,,,
132450,Gal1,"DSM 26537, JCM 18753",1,"Mobilisporobacter senegalensis",1329262.3,alkaliphile,6.5-9.3,0-3.5
,,,,,2788499849,,,1
,,,,,GCA_003752155,,,
5826,"5NBRC 108673","DSM 45764, KCTC 19887, NBRC 108673, KLBMP 1279",1,"Modestobacter roseus",1181884.3,alkaliphile,06-11,0-10
,,,,,2585427561,,,0-5
,,,,,GCA_007994135,,,
5831,CP153-2,"DSM 16678, ATCC BAA-1040, CIP 109814, JCM 15578, CGMCC 1.10729",1,"Modestobacter versicolor",2827613928,alkaliphile,05-09,0-3
,,,,,2839233032,,,1.5
,,,,,429133.6,,,
,,,,,GCA_003226595,,,
,,,,,GCA_014195485,,,
140166,"784B1_12E-Caso, 784 B1_12 E-Caso","DSM 29388, CIP 110830, LMG 28502",1,"Moheibacter stercoris",2928575895,alkaliphile,6.5-12.5,1-4
140420,C7,"DSM 100241, LMG 28800",1,"Pontivivens marinum",2710264757,alkaliphile,5.5-9,0-9
,,,,,GCA_900231835,,,2-7
132419,,"DSM 27929, CCTCC AB 2012966, YIM 4-4",0,"Mongoliibacter ruber",1750599.3,alkaliphile,7.5-11.5,0-6
,,,,,2731639260,,,0.5-2
,,,,,GCA_003003005,,,
140704,MIMtkB18,"KCTC 42635, MCCC 1K00571, DSM 109489",1,"Mongoliimonas terrestris",2786546838,alkaliphile,6-9,0
,,,,,GCA_001927285,,,
133707,,"ACCC 05421, KCTC 23224, MIM 18",1,"Mongoliitalea lutea",849756.3,alkaliphile,6.5-12,0-5.5
,,,,,GCA_014652135,,,1
16822,"64-FGQ, 64_FGQ","DSM 23265, VKM B-2603",1,"Moorella humiferrea",2894696004,alkaliphile,5.5-8.5,0-1.5
,,,,,676965.3,,,
,,,,,GCA_002995755,,,
133346,YH6,"KCTC 42594, MCCC 1H00122",1,"Motilimonas eburnea",GCA_021295345,alkaliphile,6.5-9.0,1.0-8.0
,,,,,,,,2.0-4.0
159834,C34,"MCCC 1K03462, KCTC 62319",1,"Motiliproteus coralliicola",GCA_003345655,alkaliphile,6-10,1-8
,,,,,,,,4
140568,PP-F2F-G47,"CCM 8711, CIP 111182, LMG 29767, DSM 103633",1,"Mucilaginibacter galii",2005073.3,alkaliphile,5.0-9.0,0-3
,,,,,GCA_014635825,,,3
133595,Gh-67,"NCIMB 14470, KCTC 22380",1,"Mucilaginibacter gossypii",2651870011,acidophile,04-07,0.5
,,,,,GCA_900100945,,,
133596,Gh-48,"NCIMB 14471, KCTC 22379",1,"Mucilaginibacter gossypiicola",2651870109,acidophile,02-08,0.5
,,,,,GCA_900110105,,,
166098,ZR32,"KCTC 62193, CCTCC AB 2017285",1,"Mucilaginibacter hurinus",2839151031,alkaliphile,6-10,0
,,,,,GCA_003324525,,,0-1
133884,YC7004,"KACC 16571, NBRC 108856",1,"Mucilaginibacter jinjuensis",GCA_028596025,alkaliphile,4-8.5,0-1
134361,SCK,"NBRC 102645, KCTC 22227",1,"Mucilaginibacter kameinonensis",2843459295,alkaliphile,04-09,0-0.5
,,,,,GCA_003675385,,,
133142,TBZ30,"KCTC 42833, CCTCC AB 2015301",1,"Mucilaginibacter pedocola",2846139442,alkaliphile,5.0-8.5,0
,,,,,GCA_002013915,,,0.0-1.0
133144,PP-F2F-G21,"DSM 100995, CCM 8625, CIP 110921, LMG 29118",1,"Mucilaginibacter phyllosphaerae",1812349.3,alkaliphile,5.0-9.0,0
,,,,,1812349.7,,,0.1-2.0
,,,,,1812349.8,,,2
,,,,,2829966403,,,
,,,,,GCA_014196695,,,
,,,,,GCA_014635525,,,
133386,NH7-4,"JCM 30607, CGMCC 1.14937",1,"Mucilaginibacter psychrotolerans",2881113850,alkaliphile,5.0-9.0,0-1
,,,,,GCA_004519315,,,
140679,EF23,"CGMCC 1.15913, KCTC 52516",1,"Mucilaginibacter rubeus",2027860.7,alkaliphile,5-9,0-0.5
,,,,,GCA_014643835,,,
132970,yx-36,"DSM 26809, CCTCC AB 2012880",1,"Mucilaginibacter yixingensis",1295612.3,alkaliphile,6-9.5,0
,,,,,2734482263,,,0-1
,,,,,GCA_003050755,,,
166220,GCL-11,"MCCC 1A11649, KCTC 52432",1,"Flagellimonas amoyensis",GCA_003058265,alkaliphile,6.0-9.0,0.5-8.0
,,,,,,,,3.0-5.0
5744,A11,"DSM 22638, KCTC 22665",1,"Flagellimonas flava",2617270824,alkaliphile,06-10,1-6
,,,,,570519.5,,,2.50
,,,,,GCA_900129665,,,
166284,176CP4-71,"KACC 19889, LMG 31033",1,"Flagellimonas allohymeniacidonis",GCA_004296335,alkaliphile,6-8.5,1-8
,,,,,,,,3
133488,CC-HSB-11,"BCRC 17850, KCTC 22339",1,"Flagellimonas lutaonensis",2630968620,alkaliphile,06-09,02-06
,,,,,516051.11,,,4
,,,,,GCA_000963865,,,
133397,CSW06,"CGMCC 1.15761, JCM 31455, KCTC 52375, MCCC 1K03195",1,"Croceivirga lutea",1775167.4,alkaliphile,6.0-9.0,1.0-7.0
,,,,,GCA_014235875,,,4
,,,,,GCA_014643615,,,
166526,SM1704,"KCTC 62797, MCCC 1K03557",1,"Flagellimonas nanhaiensis",2884458355,alkaliphile,6.0-9.0,1.0-11.0
,,,,,GCA_003382275,,,2.5
133485,"5KCCM90075, CL-SS4","JCM 15563, KCCM 90075",1,"Flagellimonas olearia",552546.5,alkaliphile,5.2-9.4,1.0-6.0
,,,,,GCA_009184425,,,2.5
133943,105,"KACC 16195, JCM 17757",1,"Flagellimonas taeanensis",1005926.4,alkaliphile,5.5-9.0,1.0-8.0
,,,,,2835303341,,,3
,,,,,GCA_003584105,,,
5740,EM44,"DSM 21206, KCTC 22299",1,"Muriicola jejuensis",2724679820,alkaliphile,6.5-9,01-05
,,,,,504488.4,,,02-04
,,,,,GCA_010671595,,,
12588,XLG910.2,"DSM 15700, CGMCC 1.3458, JCM 14112, NBRC 106321",1,"Myceligenerans xiligouense",253184.3,alkaliphile,4.0-13,2.0-17.5
,,,,,2784132080,,,4.5
,,,,,GCA_003814695,,,
133809,MB1-14,"CCTCC AB 209002, KCTC 19753, JCM 19955",1,"Mycetocola manganoxydans",2866447923,alkaliphile,07-10,<5
,,,,,699879.3,,,
,,,,,699879.4,,,
,,,,,GCA_003667545,,,
,,,,,GCA_014651755,,,
133953,MD-T1-10-2,"CGMCC 1.11101, NBRC 107877",1,"Mycetocola miduiensis",2667527394,alkaliphile,6.5-10.0,0-7
,,,,,995034.3,,,1.5
,,,,,GCA_900115155,,,
24032,IM13,"DSM 26542, NBIMCC 8736",1,"Myroides guanonis",1150112.3,alkaliphile,7.0-9.5,0-4
,,,,,2622736509,,,
,,,,,GCA_900114085,,,
5623,JS-08,"DSM 23048, JCM 16529, KCTC 23023, CIP 110392",1,"Myroides marinus",2615840711,alkaliphile,05-09,0-5
,,,,,703342.6,,,2.5
,,,,,GCA_900109075,,,
5624,MY15,"DSM 23313, LMG 25566, JCM 17139",1,"Myroides phaeus",2675903217,alkaliphile,05-10,1
,,,,,702745.3,,,<6
,,,,,GCA_900099675,,,
133894,ZLM-10,"CCTCC AB 208222, KCTC 23983",1,"Nafulsella turpanensis",2551306499,alkaliphile,06-09,2
,,,,,GCA_000346615,,,
166309,,"CGMCC 4.7629, NBRC 114017, YIM 132087",1,"Nakamurella alba",2665158.3,alkaliphile,5.0-9.0,3
,,,,,2910341627,,,
,,,,,GCA_009707545,,,
166422,12Sc4-1,"KCTC 49114, CGMCC 1.16555",1,"Nakamurella deserti",2785510704,alkaliphile,6-9,0
,,,,,GCA_003260015,,,0-3
132455,2Q3S-4-2,"DSM 100722, CGMCC 4.7308, JCM 31778",1,"Nakamurella endophytica",1748367.3,alkaliphile,5-9,0
,,,,,GCA_014646215,,,0-2
23147,DS-52,"DSM 26917, CIP 108919, JCM 15652, KCTC 19127, NBRC 105867",1,"Nakamurella flavida",2923639079,alkaliphile,5.0-8.5,0-2
,,,,,363630.3,,,10
,,,,,GCA_016918095,,,4
,,,,,,,,6
,,,,,,,,8
,,,,,,,,<4
10174,DLS-10,"DSM 19367, JCM 16024, KCTC 19285, DLS 10, NBRC 106258",1,"Nakamurella lactea",1123241.3,alkaliphile,5.1-9.1,<3
,,,,,2524614512,,,
,,,,,GCA_000426645,,,
133020,S20-107,"DSM 102309, LMG 29427",1,"Nakamurella silvestris",1645681.3,alkaliphile,6.0-9.0,0.0-1.0
,,,,,2833868136,,,0.0-3.0
,,,,,GCA_003576535,,,
17655,JW/NM-WN-LU,"DSM 18760, ATCC BAA-1443",1,"Natranaerobius trueperi",2889473178,alkaliphile,8.0-10.8,1.5-3.8
,,,,,759412.3,,,2.2
,,,,,GCA_002216005,,,
132586,"JW/NM-HA 15","DSM 23470",1,"Natrarchaeobaculum aegyptiacum",GCA_002156705,alkaliphile,7.5-10.5,3.25-4.62
163851,,"JCM 30663, UNIQEM U932, AArc 1",1,"Natrarchaeobaculum sulfurireducens",GCA_003430825,alkaliphile,8.5-10.5,2.5-5
,,,,,,,,3.5-4
1570,HN30,"DSM 21771, JCM 15649",1,"Natribacillus halophilus",2634166325,alkaliphile,6.5-10.0,10-15
,,,,,549003.4,,,7-23
,,,,,GCA_900100185,,,
134340,HIS40-3,"BCC 24370, JCM 14663, PCU 303",1,"Natrinema gari",1230459.4,alkaliphile,5.5-8.5,15.08-19.72
,,,,,2554235484,,,9.86-19.72
,,,,,GCA_000337175,,,
131258,294-194-5,"DSM 27208, CECT 7630, JCM 16593",1,"Natronoarchaeum philippinense",2728369221,alkaliphile,6.5-8.5,14-30
,,,,,558529.3,,,18
,,,,,GCA_900215575,,,
